sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
zh-braun-shaver-799CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、动力系统：革新性智能声波技术-涡轮增压模式产生10000次/分钟的微振动，在三级剃须系统同步进行中，引擎转速媲美超级跑车；2、剃须系统：刀头配置：三级刀头系统：博朗专利刀头转速达到130次/秒，同时提去耸立的胡须和贴面的软发，双层网膜贴面清除平躺的胡须。刀头灵活度：40度旋转刀头与浮动刀网的结合确保剃须时紧贴皮肤表面，不遗漏任何一个角度和方向。个性化设置：五档调节：格外敏感，敏感，正常，强烈，涡轮。3、酒精清洁台：99.9999%的杀菌率，5种模式选择，25秒快速清洁，1键自动完成充电、清洁、除菌、润滑和烘干。4、充电系统：1小时完全充电，50分种使用，充电5分钟足够使用一次。5、附加功能：液晶显示屏，鬓角修剪器，全身水洗，干湿二用。<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/53093906/TB2H1gaapXXXXabXXXXXXXXXXXX-53093906.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i4/53093906/TB2a5P8apXXXXb0XXXXXXXXXXXX-53093906.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i3/53093906/TB2H_6_apXXXXbfXXXXXXXXXXXX-53093906.jpg' />",No,,,0,/braun/braun-shaver-799CC.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购BRA博朗799CC剃须刀,想了解更多BRA博朗799CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗799CC剃须刀.",BRA博朗799CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗799CC剃须刀,,,Product Info Column,,519.99,0,智能声波科技；5种个性化剃须模式；专利ActiveLift™技术；OptiFoil™网膜；高度灵活剃须系统；可全身水洗；全自动清洁充电™（Clean & Renew™）系统；LED显示器；只需1小时即可满充。,,,/braun/braun-shaver-799CC.jpg,,,,,1,2,/braun/braun-shaver-799CC.jpg,,,braun-shaver-799CC,braun-shaver-799CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-350CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：刀刃系统 : 3组独立浮动感应刀头系统，刀头自动紧贴面部轮廓；电源类别 : 湿电/充电型；操作模式 : 有线及无线；水洗式刀头 : 有；替换式刀头 : 有，刀网更换提示灯，可选用32S系列：CF32S；全自动清洁 : 配备Clean and Renew自动清洗充电座，刀头清洁提示灯；充电时间 (小时) : 1小时充电，45分钟无线操作；快速充电 : 5分钟快充（可剃须一次）；电量充满指示 : 两段电量显示灯
低电量指示 : 有；充电指示 : 有；自动清洗充电座 : Clean and Renew自动清洗座，自动清洁、润滑刀头、及充电，使每次剃须时，须刨仿如全新一样；电压 (伏特) : 自动调校电压 100-240V；配件 : 充电线、CCR高效清洁配方、刀头保护盖、及清洁扫子；其他规格 : SensoFoil?几何刀网（全面捕捉剃除不同方向生长的胡须），浮动三刀头（中间刀头修剪细软难缠长须，两道网膜紧贴面部剃净胡须），长须修剪器。；350CC是带全自动清洁充电中心（清洁底座）的，他的功能是可以有效去除99%的细菌，一键即可完成清洁、充电和润滑三大功能，为每日开启精锐至极的剃须体验。<img  width='100%'  src='https://img.alicdn.com/i5/TB1g66bLXXXXXbmXXXXL6TaGpXX' />,<img  width='100%'  src='https://img.alicdn.com/i8/TB1xdPdLXXXXXbeXXXXL6TaGpXX' />,<img  width='100%'  src='https://img.alicdn.com/i2/TB1Ko5TLXXXXXX2XVXXL6TaGpXX' />,<img  width='100%'  src='https://img.alicdn.com/i6/TB1fRLaLXXXXXceXXXXL6TaGpXX' />,<img  width='100%'  src='https://img.alicdn.com/i7/TB13FnfLXXXXXamXXXXL6TaGpXX' />",No,,,0,/braun/braun-shaver-350CC.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，选购BRA博朗350CC剃须刀,想了解更多BRA博朗350CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗350CC剃须刀.",BRA博朗350CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗350CC剃须刀,,,Product Info Column,,150,0,三级剃须系统；三刀一体自由浮动式系统；超感几何刀网；全自动清洁中心。,,,/braun/braun-shaver-350CC.jpg,,,,,1,2,/braun/braun-shaver-350CC.jpg,,,braun-shaver-350CC,braun-shaver-350CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-7-740S,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：智能声波科技：每刮一次，都伴随着10,000次微振动，帮助捕捉更多胡须——带来博朗最彻底舒滑的剃须效果。
5种个性化剃须模式：超敏感、敏感、正常、密集、涡轮增压模式可清除脸部不同区域的胡须——带来更个性化的剃须体验。
专利ActiveLift™技术：独特的振荡式集成修剪器，能够轻松提起平躺紧贴皮肤或者歪倒的胡须——即使是难剃部位也能轻松剃尽。
OptiFoil™网膜：博朗最先进的须刀网膜带有不同大小的网眼，能够捕捉不同生长方向的毛发，从而带来前所未有的更深入、更贴合的剃须体验。
高度灵活剃须系统：博朗将旋转刀头和浮动刀网相进行独特结合，保证了极佳的脸部适应度。
三级剃须系统：三种特别的剃须部件使长须的剃除像短须一样轻松。
可全身水洗：所有博朗剃须刀都可用自来水轻松清洁。
全自动清洁充电™（Clean & Renew™）系统：只需轻触按钮，即可自动使用3种模式清洁，去除99.999%的细菌；热感应系统可自动烘干您的剃须刀；并有自动充电功能，完毕后自动进入睡眠状态，安全节能；清洁循环中的润滑功能，提供更佳的剃须效率。——让您的剃须刀常用如新。
精确长须修剪器：用于打造精准造型。
LED显示器：用于显示电池状态&卫生状况
功能强大的可充电锂电池：无记忆效应
只需1小时即可满充：无线剃须时间长达50分钟，也可有线剃须。适用于全球电压范围（100-240V）<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/80744637/TB2prIJjVXXXXcxXpXXXXXXXXXX_!!80744637.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/80744637/TB2bpdpkXXXXXanXXXXXXXXXXXX_!!80744637.jpg' />",No,,,0,/braun/braun-shaver-7-740S.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗7-740S剃须刀,想了解更多BRA博朗7-740S剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗7-740S剃须刀.",BRA博朗7-740S剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗7-740S剃须刀,,,Product Info Column,,399,0,智能声波科技；5种个性化剃须模式；专利ActiveLift™技术；OptiFoil™网膜；高度灵活剃须系统；三级剃须系统；可全身水洗；全自动清洁充电™（Clean & Renew™）系统：；LED显示器。,,,/braun/braun-shaver-7-740S.jpg,,,,,1,2,/braun/braun-shaver-7-740S.jpg,,,braun-shaver-7-740S,braun-shaver-7-740S.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-7-765CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,产品特点：1、精确长须修剪器，帮您打造精准造型，要用这款完美精准的工具修剪您的络腮胡子、小胡子或山羊胡，只需将弹出式长须修剪器简单向上一推；2、100%防水，可全身水洗，具有全密封构造，能够用自来水简单快速清洗。如需更佳的便利性，您只需轻触按钮，即可使用全自动清洁中心系统对您的剃须刀进行自动清洁。3、功能强大的可充电锂电池，无记忆效应。4、只需1小时即可充满电，可为您带来50分钟的无线剃须体验，只需充电5分钟，即可支持一次无线剃须。<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/371987070/TB2BhMLdpXXXXXmXXXXXXXXXXXX_!!371987070.jpg' />,No,,,0,/braun/braun-shaver-7-765cc.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗7-765CC剃须刀,想了解更多BRA博朗7-765CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗7-765CC剃须刀.",BRA博朗7-765CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗7-765CC剃须刀,,,Product Info Column,,399,0,精确长须修剪器，帮您打造精准造型，100%防水，可全身水洗，功能强大的可充电锂电池，无记忆效应。只需1小时即可充满电，可为您带来50分钟的无线剃须体验，只需充电5分钟，即可支持一次无线剃须。,,,/braun/braun-shaver-7-765cc.jpg,,,,,1,2,/braun/braun-shaver-7-765cc.jpg,,,braun-shaver-7-765CC,braun-shaver-7-765CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-CT2S,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、色彩源于自然，剃须刀的色彩灵感主要来源于大自然世界里的冰雪，冰感蓝色蕴含无限酷感与活力。2、细节呵护体验，拇指与须刀接触点下凹型设计，布满圆形凹点的特殊防滑材质加上依据人体工程学设计的握把大小，即可以保证剃须姿势的正确性，又可以恰到好处地确保剃须控制的稳定性。3、设计美好生活,须刀尾端舍弃传统充电口下置设计，完全包裹型刀尾，使须刀无缝对接，100%防水，沐浴时同样放心使用。4、只需1小时即可充满电，可为您带来50分钟的无线剃须体验，只需充电5分钟，即可支持一次无线剃须。<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/2379720333/TB2UOMklpXXXXcNXpXXXXXXXXXX_!!2379720333.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/2379720333/TB2Y0.MlpXXXXcnXXXXXXXXXXXX_!!2379720333.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i3/2379720333/TB2phEnlpXXXXcjXpXXXXXXXXXX_!!2379720333.jpg' />",No,,,0,/braun/braun-shaver-ct2S.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗CT2S剃须刀,想了解更多BRA博朗CT2S剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗CT2S剃须刀.",BRA博朗CT2S剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗CT2S剃须刀,,,Product Info Column,,149,0,三级剃须系统；贴面感应网膜；干湿二用；防潮安全充电座；智能旅行锁；长须修剪器；100%全身水洗；创新设计工艺；智能清洁中心。,,,/braun/braun-shaver-ct2S.jpg,,,,,1,2,/braun/braun-shaver-ct2S.jpg,,,braun-shaver-CT2S,braun-shaver-CT2S.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-CT2S-white,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、色彩源于自然，剃须刀的色彩灵感主要来源于大自然世界里的冰雪，冰感蓝色蕴含无限酷感与活力。2、细节呵护体验，拇指与须刀接触点下凹型设计，布满圆形凹点的特殊防滑材质加上依据人体工程学设计的握把大小，即可以保证剃须姿势的正确性，又可以恰到好处地确保剃须控制的稳定性。3、设计美好生活,须刀尾端舍弃传统充电口下置设计，完全包裹型刀尾，使须刀无缝对接，100%防水，沐浴时同样放心使用。4、只需1小时即可充满电，可为您带来50分钟的无线剃须体验，只需充电5分钟，即可支持一次无线剃须。<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/749240762/TB26RwwkpXXXXbiXpXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i4/749240762/TB2LMwukpXXXXbnXpXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/749240762/TB2xWcGkpXXXXXIXpXXXXXXXXXX-749240762.jpg' />",No,,,0,/braun/braun-shaver-ct2S-white.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗CT2S（白色）剃须刀,想了解更多BRA博朗CT2S（白色）剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗CT2S（白色）剃须刀.",BRA博朗CT2S（白色）剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗CT2S（白色）剃须刀,,,Product Info Column,,149,0,三级剃须系统；贴面感应网膜；干湿二用；防潮安全充电座；智能旅行锁；长须修剪器；100%全身水洗；创新设计工艺；智能清洁中心。,,,/braun/braun-shaver-ct2S-white.jpg,,,,,1,2,/braun/braun-shaver-ct2S-white.jpg,,,braun-shaver-CT2S-white,braun-shaver-CT2S-white.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-WF2S,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、干湿双模：快速剃净呵护皮肤，全身密闭防水全密封构造可在淋浴时使用；湿剃呵护皮肤搭配剃须泡沫、啫喱或洁面乳，缓解须后皮肤不适，敏感皮肤更适用。2、33度感应刀头净扫难剃部位：无需手动，自动灵活紧贴面部轮廓起伏，嘴唇附近、喉结等难剃部位也能一剃即净，修长的刀头尺寸更好的贴合人中、下巴等部位，带来理想的顺滑剃须体验。3、剃净长短须及须根：超薄网膜仅0.056mm,刀网六角形设计，网孔尺寸及分布依据人体工程学设计，呵护肌肤同时剃净须根。网膜边缘网孔增大25%面积，轻松剃除难剃部位胡须。
材料材料：PBT（聚对苯二甲酸丁二醇酯），PC（聚碳酸酯），POM（聚甲醛（聚缩醛））
附件：充电器，便携防护袋，清洁刷
充电时间：约1小时，连续工作时间：约50分钟<img  width='100%'  src='https://img.alicdn.com/imgextra/i1/444969165/TB2HI5lkFXXXXbjXXXXXXXXXXXX_!!444969165.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i3/444969165/TB28q1bkFXXXXcKXXXXXXXXXXXX_!!444969165.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i1/444969165/TB2bruakFXXXXcNXXXXXXXXXXXX_!!444969165.jpg' />",No,,,0,/braun/braun-shaver-wf2S.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗WF2S剃须刀,想了解更多BRA博朗WF2S剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗WF2S剃须刀.",BRA博朗WF2S剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗WF2S剃须刀,,,Product Info Column,,169,0,可水洗淋浴时也可用，强劲动力剃须更净，轻松打造鬓角、胡须造型，高效能充电锂电池，电量状态一目了然，防滑细节湿剃更安心。,,,/braun/braun-shaver-wf2S.jpg,,,,,1,2,/braun/braun-shaver-wf2S.jpg,,,braun-shaver-WF2S,braun-shaver-WF2S.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-9090CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、智能声波技术：高速微震动，自动识别高低不平的面部轮廓并根据胡须密度自动调节带来杰出剃净表现，2、超敏感剃须系统：博朗旋转刀头与独立浮动剃须元件的独特组合，确保剃须时紧密贴合皮肤表面。3、劲能体毛修剪器：只有0.24mm厚度，更薄的厚度可进入平躺胡须下方有效提起并剔除胡须颈部和下巴等部位的平躺胡须。4、0.056mm超薄网膜，优化轮廓，与皮肤接触面积增加40%，皮肤压力降低29%，缔造持续与出色的贴合度。<img  width='100%'  src='https://img.alicdn.com/imgextra/i4/1947949511/TB2yfWbhpXXXXcaXXXXXXXXXXXX_!!1947949511.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/749240762/TB2Dv.GkpXXXXXKXpXXXXXXXXXX-749240762.jpg' />",No,,,0,/braun/braun-shaver-9090cc.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗9090CC剃须刀,想了解更多BRA博朗9090CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗9090CC剃须刀.",BRA博朗9090CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗9090CC剃须刀,,,Product Info Column,,758,0,活动感应刀头开关；精准修剪器；LED电子显示+卫生及旅行锁定指示器；全身水洗；超强人体工学造型；可充电使用；强大线性驱动马达；高效能充电锂电池。,,,/braun/braun-shaver-9090cc.jpg,,,,,1,2,/braun/braun-shaver-9090cc.jpg,,,braun-shaver-9090CC,braun-shaver-9090CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-9050CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、智能声波技术：高速微震动，自动识别高低不平的面部轮廓并根据胡须密度自动调节带来杰出剃净表现，2、超敏感剃须系统：博朗旋转刀头与独立浮动剃须元件的独特组合，确保剃须时紧密贴合皮肤表面。3、劲能体毛修剪器：只有0.24mm厚度，更薄的厚度可进入平躺胡须下方有效提起并剔除胡须颈部和下巴等部位的平躺胡须。4、多面直剃修剪器：齿距仅有0.15mm,胡须可从两头进入胡须引导速度快2.6倍，专为剃除不同方向生长的胡须而设计。<img  width='100%'  src='https://img.alicdn.com/imgextra/i2/749240762/TB2tegzkpXXXXbcXpXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i1/749240762/TB29wQ8kpXXXXXjXXXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i1/749240762/TB2MfwwkpXXXXbGXpXXXXXXXXXX-749240762.jpg' />",No,,,0,/braun/braun-shaver-9050cc.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗9050CC剃须刀,想了解更多BRA博朗9050CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗9050CC剃须刀.",BRA博朗9050CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗9050CC剃须刀,,,Product Info Column,,835,0,活动感应刀头开关；精准修剪器；LED电子显示+卫生及旅行锁定指示器；全身水洗；超强人体工学造型；可充电使用；强大线性驱动马达；高效能充电锂电池。,,,/braun/braun-shaver-9050cc.jpg,,,,,1,2,/braun/braun-shaver-9050cc.jpg,,,braun-shaver-9050CC,braun-shaver-9050CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
zh-braun-shaver-5050CC,base,Electric,simple,[Chinese Category]/家用小电器/电动剃须刀,base,,,,BRAUN,,,,,Germany,,,,,,"产品特点：1、灵动贴面技术非凡贴合面部轮廓，精准分析男性面部特征，研发灵动贴面技术，更贴合面部细微起伏，顺畅剃须，一手掌控。2、三级剃须系统避免反复剃刮轻松剃除长短须。3、劲能驱动技术，听得到的强劲高速修剪避免拉扯：强悍的德国进口电机，剃须动力更提升20%，刀起须落胡茬不留。4、全自动清洁中心一键清洁、充电、杀菌、保养。<img  width='100%'  src='https://img.alicdn.com/imgextra/i3/749240762/TB2Y0TzipXXXXaHXXXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i2/749240762/TB2m0fpipXXXXctXXXXXXXXXXXX-749240762.jpg' />, <img  width='100%'  src='https://img.alicdn.com/imgextra/i3/749240762/TB2TKTfipXXXXaMXpXXXXXXXXXX-749240762.jpg' />",No,,,0,/braun/braun-shaver-5050cc.jpg,,,,,"欢迎前来「德藝緻」德國精品百貨，BRA博朗5050CC剃须刀,想了解更多BRA博朗5050CC剃须刀，请进入「德藝緻」德國精品百貨，任您选购。","「德藝緻」德國精品百貨,BRA博朗5050CC剃须刀.",BRA博朗5050CC剃须刀-「德藝緻」德國精品百貨,,,Use config,Use config,BRA博朗5050CC剃须刀,,,Product Info Column,,349,0,灵动贴面技术，三级剃须系统，劲能驱动技术，全自动清洁中心。,,,/braun/braun-shaver-5050cc.jpg,,,,,1,2,/braun/braun-shaver-5050cc.jpg,,,braun-shaver-5050CC,braun-shaver-5050CC.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
