sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
lego-creator-31003--roter-helikopter,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 创意百变组  红色双桨直升机 31003 145 颗粒,,,Product Info Column,,18.79,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31003--roter-helikopter,lego-creator-31003--roter-helikopter.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31010--baumhaus,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,7-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 创意百变组 树上小屋 31010 356 颗粒,,,Product Info Column,,47.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31010--baumhaus,lego-creator-31010--baumhaus.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31022--turboquad,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,7-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 创意百变组 四轮越野摩托 31022 186 颗粒,,,Product Info Column,,23.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31022--turboquad,lego-creator-31022--turboquad.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31023--gelbe-flitzer,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,7-12岁,,,lego,,,,,Germany,,,,,,"<img src=""https://images-cn.ssl-images-amazon.com/images/G/28/aplus_rbs/AAJ5Y-20141009-5.jpg"">",No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 Creator 创意百变系列 超级百变竞速者 31023 328 颗粒,,,Product Info Column,,29.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31023--gelbe-flitzer,lego-creator-31023--gelbe-flitzer.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31026--fahrradladen-&-café,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6岁以上,,,lego,,,,,Germany,,,,,,"<img src=""https://images-cn.ssl-images-amazon.com/images/G/28/aplus_rbs/AAJ5Y-20141009-9.jpg"">",No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 Creator 创意百变组 单车店与咖啡厅 31026 1023 颗粒,,,Product Info Column,,82.49,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31026--fahrradladen-&-café,lego-creator-31026--fahrradladen-&-café.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31027--rennwagen--blau,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 【乐高】拼插积木 创意Creator 小颗粒 67颗粒 儿童礼物 益智玩具 6岁-12岁 3合1蓝色赛车 L31027 67 颗粒,,,Product Info Column,,4.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31027--rennwagen--blau,lego-creator-31027--rennwagen--blau.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31028--wasserflugzeug,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 拼插类玩具 Creator创意百变系列 水上飞机 31028 53 颗粒,,,Product Info Column,,4.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31028--wasserflugzeug,lego-creator-31028--wasserflugzeug.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31029--transporthubschrauber,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 拼插类玩具 Creator创意百变系列 货物直升机 31029 132 颗粒,,,Product Info Column,,9.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31029--transporthubschrauber,lego-creator-31029--transporthubschrauber.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31030--gokart--rot,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 拼插类玩具 Creator创意百变系列 红色卡丁车 31030 106 颗粒,,,Product Info Column,,12.85,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31030--gokart--rot,lego-creator-31030--gokart--rot.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-creator-31031--regenwaldtiere,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Creator 创意百变,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 拼插类玩具 Creator创意百变系列 雨林动物 31031 215 颗粒,,,Product Info Column,,12.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-creator-31031--regenwaldtiere,lego-creator-31031--regenwaldtiere.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
