sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
lego-friends-3933--olivia's-ideenwerkstatt,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,5-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 女孩系列 奥莉薇亚的发明工坊 3933 81 颗粒,,,Product Info Column,,25.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-3933--olivia's-ideenwerkstatt,lego-friends-3933--olivia's-ideenwerkstatt.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-3935--stephanie's-mobile-tierrettung,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,5-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 女孩系列 斯蒂芬妮的宠物巡逻车 3935 73 颗粒,,,Product Info Column,,20.99,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-3935--stephanie's-mobile-tierrettung,lego-friends-3935--stephanie's-mobile-tierrettung.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41005--heartlake-schule,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 乐高女孩系列 心湖高地 41005 487 颗粒,,,Product Info Column,,103.80,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41005--heartlake-schule,lego-friends-41005--heartlake-schule.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41015--yacht,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,7-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 女孩系列 海豚号游艇 41015 612 颗粒,,,Product Info Column,,80.80,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41015--yacht,lego-friends-41015--yacht.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41035--heartlake-saft-&-smoothiebar,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,"<img src=""https://images-cn.ssl-images-amazon.com/images/G/28/aplus_rbs/AAJ5Y-20140924-1.jpg"">",No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 好朋友系列 心湖果汁吧 41035 277 颗粒,,,Product Info Column,,37.50,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41035--heartlake-saft-&-smoothiebar,lego-friends-41035--heartlake-saft-&-smoothiebar.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41037--stephanies-strandhaus,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 好朋友系列 斯蒂芬妮的沙滩小屋 41037 369 颗粒,,,Product Info Column,,46.61,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41037--stephanies-strandhaus,lego-friends-41037--stephanies-strandhaus.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41038--große-dschungelrettungsbasis,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,7-12岁,,,lego,,,,,Germany,,,,,,"<img src=""https://images-cn.ssl-images-amazon.com/images/G/28/aplus_rbs/AAJ5Y-20141009-23.jpg"">",No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 Friends女孩系列 丛林救援基地 41038 473 颗粒,,,Product Info Column,,47.90,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41038--große-dschungelrettungsbasis,lego-friends-41038--große-dschungelrettungsbasis.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends-41039--großer-bauernhof,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 好朋友系列 心湖阳光牧场 41039 721 颗粒,,,Product Info Column,,103.80,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends-41039--großer-bauernhof,lego-friends-41039--großer-bauernhof.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-41056--friends-heartlake-mobile-fernsehstudio,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,"<img src=""https://images-cn.ssl-images-amazon.com/images/G/28/aplus_rbs/AB3QK-20151116-1.jpg"">",No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 好朋友系列 心湖新闻转播车 41056 278 颗粒,,,Product Info Column,,32.97,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-41056--friends-heartlake-mobile-fernsehstudio,lego-41056--friends-heartlake-mobile-fernsehstudio.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
lego-friends--41057-die-große-pferdeschau,base,Toys,simple,[Chinese Category]/益智玩具/乐高/Friends 好朋友,base,6-12岁,,,lego,,,,,Germany,,,,,,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,No,,,0,,,,,,,,,,,Use config,Use config,LEGO 乐高 好朋友系列 心湖马术表演 41057 355 颗粒,,,Product Info Column,,69.77,0,半个多世纪前，具有搭扣和连接功能的乐高颗粒获得专利。LEGO来自丹麦语“LEG GODT”，原意为“尽情地玩”。大小颜色不一的乐高颗粒，却能制造出无限的创意和梦想，让人惊叹！乐高集团怀着热情、决心和梦想，制造最优质的玩具；50多年以来，乐高玩具已经成为最知名的拼插类玩具，并两度被誉为“世纪玩具”。欢迎进入乐高玩具的创意世界！乐高玩具为孩子们带来比以往更多的选择，让他们更容易进入充满想象力的创意世界;乐高玩具总能激发孩子们的创造力和热情，陪伴他们度过充满欢乐的童年！,,,,,,,,1,2,,,,lego-friends--41057-die-große-pferdeschau,lego-friends--41057-die-große-pferdeschau.html,4,1,50,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
