sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-avent_scf135/06,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Milchpulver-Spender</h1>In dieser praktischen Milchpulver-Spender von AVENT können Sie in drei abgetrennten Fächern Ihr Milchpulver für je eine Portion Milch transportieren. Praktisch, wenn Sie Unterwegs die Milchmahlzeit für Ihr Baby frisch zubereiten möchten! Die Tülle wird dazu einfach geöffnet und das Milchpulver wird in das Babyfläschchen mit zuvor abgekochtem und wieder abgekühltem Wasser geschüttet. <br>Der seperate Einsatz lässt sich auch einfach herausnehmen, so können Sie die Box später als Vorratsbecher oder Schale verwenden. Sterilisierbar, spülmaschinen- &amp; mikrowellengeeignet. <br>Farbe: blau. Frei von Bisphenol- A (BPA-frei). <br>Lieferumfang: <br>1 AVENT Milchpulver-Spender 3 x 260 ml Portionen    </div>",No,,,0,/avent/milchpulver-spender--avent_scf135__06--02.jpg,,,,,Milchpulver-Spender ,Milchpulver-Spender ,Milchpulver-Spender  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Milchpulver-Spender-,,,Product Info Column,,"6,99",0,,,,/avent/milchpulver-spender--avent_scf135__06--02.jpg,,,,,1,2,/avent/milchpulver-spender--avent_scf135__06--02.jpg,,,Milchpulver-Spender ,Milchpulver-Spender .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf652/27,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Trinksauger Naturnah 2 Stück - Silikon 2 Loch Tee</h1>Der Naturnah Trinksauger von Philips Avent ist besonders weich und so natürlich wie es fast nur die Mutterbrust sein kann.<br>Der weiche Silikon-Sauger im Blütendesign bewegt sich leicht mit dem Saugrhythmus Ihres Kindes mit. Die breite Lippenauflage unterstützt dabei ein natürliches Stillgefühl – fast wie an Mutters Brust. Mit 2 Löchern, für einen langsamen Trinkfluss, eignet er sich hervorragend für Babys ab 1 Monat und das Füttern von Wasser, Tee und Muttermilch. Dank doppeltem Anti-Kolik-Ventil bleibt die Luft in der Flasche und gelangt nicht beim Trinken in den Magen Ihres Babys. Magenkoliken oder Krämpfen wird so ganz einfach vorgebeugt.<br>Geeignet für Babys ab dem 1. Lebensmonat. Frei von Bisphenol-A (BPA-frei). <h3>Lieferumfang:</h3>2 AVENT Naturnah Trinksauger (Silikon, langsamer Nahrungsfluss ab 1 Mo., für Muttermilch/ Tee/ Wasser)    </div>",No,,,0,/avent/zweiloch-sauger-langsamer-nahrungsfluss-avent_scf652__27.jpg,,,,,Zweiloch-Sauger - langsamer Nahrungsfluss,Zweiloch-Sauger - langsamer Nahrungsfluss,Zweiloch-Sauger - langsamer Nahrungsfluss - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zweiloch-Sauger-langsamer-Nahrungsfluss,,,Product Info Column,,"5,99",0,,,,/avent/zweiloch-sauger-langsamer-nahrungsfluss-avent_scf652__27.jpg,,,,,1,2,/avent/zweiloch-sauger-langsamer-nahrungsfluss-avent_scf652__27.jpg,,,Zweiloch-Sauger - langsamer Nahrungsfluss,Zweiloch-Sauger - langsamer Nahrungsfluss.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf636/27,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Y Loch Sauger für Brei</h1>Artikelgewicht 45 g<br>Anzahl der Artikel 1<br>Benötigt Batterien Nein    </div>",No,,,0,/avent/y-loch-sauger-fur-brei-avent_scf636__27.jpg,,,,,Y Loch Sauger für Brei,Y Loch Sauger für Brei,Y Loch Sauger für Brei - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Y-Loch-Sauger-fur-Brei,,,Product Info Column,,"5,99",0,,,,/avent/y-loch-sauger-fur-brei-avent_scf636__27.jpg,,,,,1,2,/avent/y-loch-sauger-fur-brei-avent_scf636__27.jpg,,,Y Loch Sauger fr Brei,Y Loch Sauger fr Brei.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf720/10,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>VIA Aufbewahrungssystem für Babynahrung 42-teilig</h1>Mit dem VIA Aufbewahrungssystem für Babynahrung von Avent sind Sie und Ihr Schatz immer bestens ausgerüstet! Die praktischen Becher in zwei Größen eignen sich hervorragend zum Aufbewahren, Transportieren und Füttern von selbst zubereiteter Babynahrung. Dank der mitgelieferten VIA Schraubdeckel kann nichts auslaufen! Neben einem hochwertigen Truman-Löffel ist auch ein Rezeptheft im Set enthalten. <br>Zuhause lassen sich die Becher im Kühl- oder Gefrierschrank lagern oder platzsparend ineinander stellen. Beschriften sie die Becher einfach mit Datum und Inhalt, so behalten sie stets den Überblick. Tipps und Anregungen zum Zubereiten von Babynahrung finden Sie außerdem im mitgelieferten Rezeptheft. Die Mehrwegbecher sind vorsterilisiert und mikrowellengeeignet.<br>Übrigens: Das VIA Aufbewahrungssystem lässt sich toll mit anderen Avent-Produkten, wie z.B. der Stillpumpe kombinieren. Weitere Artikel finden Sie in unserem Shop.<br>geeignet für Babykostwärmer mit einer Öffnung von mind. 8 cm Durchmesser<br>frei von Bisphenol-A (BPA)<br>Pflegehinweis: spülmaschinengeeignet<br><h3>Lieferumfang</h3>10 Mehrwegbecher, 240 ml<br>10 Mehrwegbecher, 180 ml<br>20 Schraubdeckel<br>1 Truman- Löffel<br>1 Rezeptheft    </div>",No,,,0,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,,,VIA Aufbewahrungssystem für Babynahrung ,VIA Aufbewahrungssystem für Babynahrung ,VIA Aufbewahrungssystem für Babynahrung  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,VIA-Aufbewahrungssystem-fur-Babynahrung-,,,Product Info Column,,"27,99",0,,,,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,,,1,2,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,VIA Aufbewahrungssystem fr Babynahrung ,VIA Aufbewahrungssystem fr Babynahrung .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf172/22,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnuller modische Designs 2 Stück - Silikon 6-18 Monate</h1>Mit dem Schnuller mit modischen Designs von AVENT setzen Sie auf modernes Design und Komfort. Der kiefergerechte und symmetrische Sauger berücksichtigt die natürliche Entwicklung von Zähnen und Zahnfleisch - auch wenn der Sauger verkehrt herum im Mund liegt. Das geschmacks- und geruchsneutrale Silikon wird Ihr Kind leicht annehmen. Das Schnullerschild ist mit Luftlöchern versehen - so kann sich kein Speichel ansammeln und Hautreizungen werden verringert. <br>Geeignet für Babys und Kleinkinder ab 6-18 Monate.<h3>Lieferumfang:</h3>2 AVENT modische Beruhigungssauger (Silikon ab 6-18 Monate) SCF172/22 - verschiedene Farben    </div>",No,,,0,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,,,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Verschiedene-Designs-6-18-Monate-NEUES-DESIGN,,,Product Info Column,,"6,99",0,,,,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,,,1,2,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf172/18,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnuller modische Designs 2 Stück 0-6 Monate</h1> Mit dem Schnuller mit modischen Designs von AVENT setzen Sie auf modernes Design und Komfort. Der kiefergerechte und symmetrische Sauger berücksichtigt die natürliche Entwicklung von Zähnen und Zahnfleisch - auch wenn der Sauger verkehrt herum im Mund liegt. Das geschmacks- und geruchsneutrale Silikon wird Ihr Kind leicht annehmen. Das Schnullerschild ist mit Luftlöchern versehen - so kann sich kein Speichel ansammeln und Hautreizungen werden verringert. <br>Geeignet ab 0-6 Monate. <br>Frei von Bisphenol- A (BPA-frei). <h3>Lieferumfang:</h3>2 AVENT modische Beruhigungssauger (Silikon ab 0-6 Monate) SCF172/18 - verschiedene Farben <br>ACHTUNG! Dieser Artikel ist in verschiedenen Farbausführungen erhältlich. Die Vorauswahl einer bestimmten Variante ist leider nicht möglich.    </div>",No,,,0,/avent/verschiedene-designs-0-6-monate-neues-design-avent_scf172__18--01.jpg,,,,,Verschiedene Designs 0-6 Monate - NEUES DESIGN,Verschiedene Designs 0-6 Monate - NEUES DESIGN,Verschiedene Designs 0-6 Monate - NEUES DESIGN - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Verschiedene-Designs-0-6-Monate-NEUES-DESIGN,,,Product Info Column,,"6,99",0,,,,/avent/verschiedene-designs-0-6-monate-neues-design-avent_scf172__18--01.jpg,,,,,1,2,/avent/verschiedene-designs-0-6-monate-neues-design-avent_scf172__18--01.jpg,,,Verschiedene Designs 0-6 Monate - NEUES DESIGN,Verschiedene Designs 0-6 Monate - NEUES DESIGN.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scd150/60,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>ThermaBag - Schwarz</h1>Hält Flaschen warm oder kühl<br>Modernes, kompaktes und vielseitiges Design<br>Verstellbarer Schulterriemen<br>Speziell entwickelt für AVENT Flaschen, VIA und Magic Becher<br>Entwicklungsstufen: 0 bis 6 Monate, 6 bis 12 Monate    </div>",No,,,0,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,,,ThermaBag - Schwarz,ThermaBag - Schwarz,ThermaBag - Schwarz - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,ThermaBag-Schwarz,,,Product Info Column,,"19,99",0,,,,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,,,1,2,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,ThermaBag - Schwarz,ThermaBag - Schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scd610/00,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Premium Babyphone Video Monitor</h1>Mindestens 150 m Reichweite<br>6,1 cm (2,4"") LCD-Bildschirm mit Tag- und Nachtsicht<br>Vergrößern und Schwenken<br>Kompatibel mit bis zu vier Kameras<br>Im Lieferumfang enthalten: AC/DC-Adapter; Kurzanleitung; Bedienungsanleitung <h3>Technische Details</h3>Artikelgewicht: 118 g<br>Produktabmessungen: 22,4 x 20,6 x 11,2 cm<br>Batterien: 1 Lithium ion Batterien erforderlich (enthalten).<br>Farbe: weiß/schwarz<br>Besondere Merkmale: Videomonitor, Nachtsichtfunktion, Bewegungs Sensor, Warnung bei niedrigem Akkustand, Warnung bei Reichweiten-Überschreitung, LED Lautstärkenanzeige, Audio Sensor<br>Anzahl der Artikel: 1<br>Power source type: Netzbetrieb<br>Benötigt Batterien: Ja<br>Standing screen display size: 2.4 Zoll    </div>",No,,,0,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,,,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Premium-Babyphone-Video-Monitor,,,Product Info Column,,"199,99",0,,,,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,,,1,2,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf860/23,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        Mini Standmixer    </div>",No,,,0,/avent/mini-standmixer-avent_scf860_23.jpg,,,,,Mini Standmixer,Mini Standmixer,Mini Standmixer - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Mini-Standmixer,,,Product Info Column,,"49,99",0,,,,/avent/mini-standmixer-avent_scf860_23.jpg,,,,,1,2,/avent/mini-standmixer-avent_scf860_23.jpg,,,Mini Standmixer,Mini Standmixer.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-avent_scf176/22,base,Baby,simple,[Default Category]/Babyartikel/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schnuller für die Nacht 2 Stück 6-18 Monate</h1>Der Schnuller für die Nacht von AVENT wird Ihnen und Ihrem Schatz gefallen! Der Sicherheitsring leuchtet im Dunkeln - so ist der Sauger auch im Dunkeln erkennbar und griffbereit. Dank der kiefergerechten, symmetrischen Form liegt der Sauger auch verkehrt herum gut im Mund. Ihr Kind wird das geschmacks- und geruchsneutrale Silikon leicht annehmen. Die Schnullerscheibe ist mit Luftlöchern versehen. Dadurch kann sich kein Speichel ansammeln und Hautreizungen werden verringert.<br>geeignet ab 6-18 Monate<br>kiefergerecht geformter, symmetrischer Silikonsauger<br>geruchs- und geschmacksneutral<br>benutzerfreundliche Silikonsauger<br>mit Sicherheitsring<br>aufsteckbare Hygienekappe<br>sterilisierbar und spülmaschinenfest<h3>Lieferumfang:</h3>2 AVENT Beruhigungssauger für die Nacht (Silikon Gr.2) - Blau und Weiß    </div>",No,,,0,/avent/fur-die-nacht-6-18-monate-avent_scf176__22.jpg,,,,,Für die Nacht 6-18 Monate,Für die Nacht 6-18 Monate,Für die Nacht 6-18 Monate - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fur-die-Nacht-6-18-Monate,,,Product Info Column,,"6,99",0,,,,/avent/fur-die-nacht-6-18-monate-avent_scf176__22.jpg,,,,,1,2,/avent/fur-die-nacht-6-18-monate-avent_scf176__22.jpg,,,Fr die Nacht 6-18 Monate,Fr die Nacht 6-18 Monate.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
