sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-nuk_10176003,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK Silikon Beruhigungssauger (Schnuller) Happy Days, Größe 2 (6-18 Monate), kiefergerecht, BPA-frei, 2 Stück, Farbe nicht frei wählbar</h1>Wenn Babies strampeln, greifen, das Köpfchen heben oder an einem Schnuller saugen, ist all das ein wichtiger Teil ihres täglichen Trainingsprogramms, denn es müssen Muskeln in den Beinen und Armen, im Rücken und eben auch im Gesicht aufgebaut und trainiert werden. Das Zusammenspiel von beweglicher Zunge, kräftigen Kiefermuskeln und einer richtig geformten Gaumenwölbung ist eine wichtige Voraussetzung für gesunde, störungsfreie Atmung, problemlose Nahrungsaufnahme und die spätere Sprachentwicklung.<br>Der NUK HAPPY DAYS Beruhigungssauger hat die kiefergerechte NUK Form, eine anatomisch geformte Mundplatte aus hochwertigem Kunststoff und ist mit klassischen Lieblingsmotiven erhältlich. Alle NUK Beruhigungssauger haben das NUK AIR SYTEM. Durch ein Ventil kann die Luft aus dem Lutschteil entweichen. Es bleibt weich und hinreichend flach, um so Kieferverformungen vorbeugen zu können. Silikon ist ein weitgehend gummielastisches Material von besonderer Weichheit, äußerst temperaturbeständig und geschmacksneutral.<br>Für eine gesunde Oralentwicklung:<br>Der NUK HAPPY DAYS Beruhigungssauger – ein wichtiges „Sportgerät“ für kleine Champions.<br>Kiefergerechte NUK Form<br>Anatomisch geformte Mundplatte aus hochwertigem Kunststoff<br>Lutschteil aus Silikon<br>BPA frei<br>Verschiedene Farb- und Motivkombinationen, eine Vorauswahl ist leider nicht möglich    </div>",No,,,0,/nuk/nuk-happy-days-si-gr-ii-nuk_10176003.jpg,,,,,NUK HAPPY DAYS SI GR.II,NUK HAPPY DAYS SI GR.II,NUK HAPPY DAYS SI GR.II - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-HAPPY-DAYS-SI-GR-II,,,Product Info Column,,"6,03",0,,,,/nuk/nuk-happy-days-si-gr-ii-nuk_10176003.jpg,,,,,1,2,/nuk/nuk-happy-days-si-gr-ii-nuk_10176003.jpg,,,NUK HAPPY DAYS SI GR.II,NUK HAPPY DAYS SI GR.II.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10177046,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/nuk/trendline-sesamstrasse-schnuller-gr3-nuk_10177046.jpg,,,,,Trendline Sesamstraße Schnuller GR3,Trendline Sesamstraße Schnuller GR3,Trendline Sesamstraße Schnuller GR3 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Trendline-Sesamstrasse-Schnuller-GR3,,,Product Info Column,,"5,99",0,,,,/nuk/trendline-sesamstrasse-schnuller-gr3-nuk_10177046.jpg,,,,,1,2,/nuk/trendline-sesamstrasse-schnuller-gr3-nuk_10177046.jpg,,,Trendline Sesamstrae Schnuller GR3,Trendline Sesamstrae Schnuller GR3.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10176102,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/nuk/trendline-sesamstrasse-schnuller-gr2-nuk_10176102.jpg,,,,,Trendline Sesamstraße Schnuller GR2,Trendline Sesamstraße Schnuller GR2,Trendline Sesamstraße Schnuller GR2 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Trendline-Sesamstrasse-Schnuller-GR2,,,Product Info Column,,"5,99",0,,,,/nuk/trendline-sesamstrasse-schnuller-gr2-nuk_10176102.jpg,,,,,1,2,/nuk/trendline-sesamstrasse-schnuller-gr2-nuk_10176102.jpg,,,Trendline Sesamstrae Schnuller GR2,Trendline Sesamstrae Schnuller GR2.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10255261,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/nuk/sesamstrasse-flexi-cup-300ml-mit-trinktulle-nuk_10255261.jpg,,,,,Sesamstraße Flexi Cup 300ml mit Trinktülle,Sesamstraße Flexi Cup 300ml mit Trinktülle,Sesamstraße Flexi Cup 300ml mit Trinktülle - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Sesamstrasse-Flexi-Cup-300ml-mit-Trinktulle,,,Product Info Column,,"8,99",0,,,,/nuk/sesamstrasse-flexi-cup-300ml-mit-trinktulle-nuk_10255261.jpg,,,,,1,2,/nuk/sesamstrasse-flexi-cup-300ml-mit-trinktulle-nuk_10255261.jpg,,,Sesamstrae Flexi Cup 300ml mit Trinktlle,Sesamstrae Flexi Cup 300ml mit Trinktlle.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10256205,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK - Zahnpflege-Lernset, 2-teilig, Putzlernstift und Putztrainer inkl. Schutzring, optimale Vorbereitung aufs Zähneputzen, BPA-frei, 1 Set</h1>Ganz wichtig ist es, das Kind frühzeitig an eine richtige Zahnpflege heranzuführen – im Idealfall schon bevor die Zähnchen überhaupt da sind. Wo Eltern von Anfang an auf Mundhygiene geachtet haben, gibt es auch eine gesunde Zahnentwicklung und später deutlich weniger Karies.<br>Das NUK Zahnpflege-Lernset ist ideal zum Ihr Kind an das Zähneputzen heranzuführen. Der Putzlernstift massiert sanft und gezielt Zahnfleisch und Gaumen und mildert den Druck beim Zahnen. Der Putztrainer sorgt mit seinen weichen, bissfesten Gummilamellen für eine schonende Reinigung der ersten sichtbaren Zahnreihen. Ganz nebenbei lernt Ihr Kind die richtige Zahnputzbewegung.<br>Beide Dentalstifte haben rutschfeste Sicherheitsgriffe und im Set zusätzlich enthalten ist ein Schutzring, der zu weites Einführen in den Hals verhindert und außerdem als Standfuß genutzt werden kann.<br>Für die richtige Zahnpflege von Anfang an:<br>Das NUK Zahnpflege-Lernset – lernen fürs Leben.<br>Schrittweise an das regelmäßige Zähneputzen heranführen<br>Stufe 1: NUK Putzlernstift mit zusätzlichem Beißeffekt zur gezielten Massage des Zahnfleisches während des Zahnens<br>Stufe 2: NUK Putztrainer mit weichen, bissfesten Gummilamellen für die erste schonende Reinigung<br>Rutschfeste, Zahnbürsten ähnliche Griffe<br>Schutzring verhindert zu weites Einführen und kann als Standfuß verwendet werden    </div>",No,,,0,/nuk/nuk-zahnpflege-lernset-blk-nuk_10256205.jpg,,,,,NUK ZAHNPFLEGE LERNSET BLK,NUK ZAHNPFLEGE LERNSET BLK,NUK ZAHNPFLEGE LERNSET BLK - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-ZAHNPFLEGE-LERNSET-BLK,,,Product Info Column,,"5,73",0,,,,/nuk/nuk-zahnpflege-lernset-blk-nuk_10256205.jpg,,,,,1,2,/nuk/nuk-zahnpflege-lernset-blk-nuk_10256205.jpg,,,NUK ZAHNPFLEGE LERNSET BLK,NUK ZAHNPFLEGE LERNSET BLK.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10125008,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK Anti-Colic Flaschensauger Silikon, Größe 2 (6-18 Monate) M für Milch (mittelfein gelocht), BPA-frei, 2 Stück</h1>Die Entwicklung des Mundraumes steht in enger Verbindung zur Gesamtentwicklung des Säuglings. Nirgendwo im Körper befinden sich so viele Muskeln und Nerven wie in unserem Mund. NUK entwickelte daher als Erster eine kiefergerechte Saugerform. Das NUK Anti-Colic AIR SYSTEM sorgt für Druckausgleich im Sauger und vermindert Säuglingskoliken durch Luftschlucken. Der Sauger der Größe 2 ist ideal für Babies ab 6-18 Monaten. Die Lochung S ist extrafein und für dünnflüssige Nahrung wie z.B. Muttermilch, Tee oder Wasser vorgesehen.<br>Für bewährte Qualität beim Füttern:<br>Der NUK Silikon Trinksauger mit Ventil – der Klassiker unter den Saugern.<br>Kiefergerechte NUK Form<br>NUK Anti-Colic AIR SYSTEM<br>Größe 2 (6-18 Monate), M (mittelfein gelocht = für Milchnahrung)    </div>",No,,,0,/nuk/nuk-ventilsauger-silikon-milch-gr-ii-nuk_10125008.jpg,,,,,NUK VENTILSAUGER SILIKON MILCH GR.II,NUK VENTILSAUGER SILIKON MILCH GR.II,NUK VENTILSAUGER SILIKON MILCH GR.II - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-VENTILSAUGER-SILIKON-MILCH-GR-II,,,Product Info Column,,"5,32",0,,,,/nuk/nuk-ventilsauger-silikon-milch-gr-ii-nuk_10125008.jpg,,,,,1,2,/nuk/nuk-ventilsauger-silikon-milch-gr-ii-nuk_10125008.jpg,,,NUK VENTILSAUGER SILIKON MILCH GR.II,NUK VENTILSAUGER SILIKON MILCH GR.II.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10125007,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK Anti-Colic Flaschensauger Silikon, Größe 2 (6-18 Monate) S für Tee (extrafein gelocht), BPA-frei, 2 Stück</h1>Die Entwicklung des Mundraumes steht in enger Verbindung zur Gesamtentwicklung des Säuglings. Nirgendwo im Körper befinden sich so viele Muskeln und Nerven wie in unserem Mund. NUK entwickelte daher als Erster eine kiefergerechte Saugerform. Das NUK Anti-Colic AIR SYSTEM sorgt für Druckausgleich im Sauger und vermindert Säuglingskoliken durch Luftschlucken. Der Sauger der Größe 2 ist ideal für Babies ab 6-18 Monaten. Die Lochung S ist extrafein und für dünnflüssige Nahrung wie z.B. Muttermilch, Tee oder Wasser vorgesehen.<br>Für bewährte Qualität beim Füttern:<br>Der NUK Silikon Trinksauger mit Ventil – der Klassiker unter den Saugern.<br>Kiefergerechte NUK Form<br>NUK Anti-Colic AIR SYSTEM<br>Größe 2 (6-18 Monate), S (extrafein gelocht = für dünnflüssige Nahrung)    </div>",No,,,0,/nuk/nuk-ventilsauger-siklikon-tee-gr:ii-nuk_10125007.jpg,,,,,NUK VENTILSAUGER SIKLIKON TEE GR:II,NUK VENTILSAUGER SIKLIKON TEE GR:II,NUK VENTILSAUGER SIKLIKON TEE GR:II - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-VENTILSAUGER-SIKLIKON-TEE-GR:II,,,Product Info Column,,"5,32",0,,,,/nuk/nuk-ventilsauger-siklikon-tee-gr:ii-nuk_10125007.jpg,,,,,1,2,/nuk/nuk-ventilsauger-siklikon-tee-gr:ii-nuk_10125007.jpg,,,NUK VENTILSAUGER SIKLIKON TEE GR:II,NUK VENTILSAUGER SIKLIKON TEE GR:II.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10251010,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK - Vaporisator / Auskocher für bis zu 5 Flaschen, Sauger und Zubehör, Farbe blau/weiss</h1>zur zuverlässigen Desinfektion für bis zu 5 Flaschen, Saugern und Zubehör<br>Methode zur umweltfreundlichen Heißdesinfektion auf Wasserdampfbasis ohne Chemikalien<br>1 Gerät = 2 Funktionen: ohne weitere Zusatzteile ideal nutzbar zur Nahrungszubereitung älterer Babys<br>wichtige Vitamine und Spurenelemente bleiben in der Nahrung enthalten<br>für alle NUK Babyflaschen geeignet<br>moderne Technik und praktische Funktionalität im trendigen Design<br>VDE-geprüft<br>220-240 Volt<br>Desinfektion für bis zu 5 Flaschen, Saugern und Zubehör<br>umweltfreundliche Heißdesinfektion<br>ohne Chemikalien<br>1 Gerät = 2 Funktionen - später zur Nahrungszubereitung nutzbar<br>VDE-geprüft    </div>",No,,,0,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,,,NUK VAPO 2IN1,NUK VAPO 2IN1,NUK VAPO 2IN1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-VAPO-2IN1,,,Product Info Column,,"65,99",0,,,,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,,,1,2,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,NUK VAPO 2IN1,NUK VAPO 2IN1.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10252081,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK - ULTRA DRY COMFORT Stilleinlagen, extrem-saugstark, perfekte Passform, hautfreundlich, 60er Packung</h1>In der Stillzeit und teilweise auch schon in der Schwangerschaft verliert die Brust immer wieder etwas Muttermilch. Stilleinlagen nehmen die austretende Milch auf und verhindern ein Durchfeuchten der Kleidung. NUK hat für jede Mutter, für jedes Bedürfnis und für jede Situation die passende Stilleinlage.<br>Für die anspruchsvolle Mutter hat NUK die ULTRA DRY COMFORT Stilleinlagen entwickelt. Sie bieten ein Höchstmaß an Sicherheit und Tragekomfort. Die NUK ULTRA DRY COMFORT Stilleinlagen sind extrem saugstark, denn die Flüssigkeit wird durch eine spezielle Innenschicht mit Flüssigkeits-Depot sicher in der Stilleinlage gespeichert. Die Stilleinlagen sind besonders hautfreundlich. Ihre atmungsaktive Außenschicht lässt Luft herein, aber keine Nässe heraus. Hierdurch werden Hautirritationen reduziert.<br>Durch ihr supersoftes Innenvlies kleben die Stilleinlagen nicht an der Brust und sind somit besonders sanft zur Haut. Dank des fluffigen Saugkerns sind die Stilleinlagen besonders weich und bieten einen sehr hohen Tragekomfort. Die NUK ULTRA DRY COMFORT Stilleinlagen sorgen für eine perfekte Passform. Sie haben einen vergrößerten Durchmesser, der sich perfekt der Brust anpasst. Durch die körpergerechte Padform tragen die Stilleinlagen nicht auf und sind unauffälliger als herkömmliche Stilleinlagen. Mit dem NUK Fixierstreifen lassen sich die Stilleinlagen sicher im BH befestigen. Die NUK ULTRA DRY COMFORT Stilleinlagen sind besonders hygienisch, denn sie sind einzeln verpackt. Dieses ist besonders praktisch für unterwegs. Die Stilleinlagen sind in einer praktischen 60er Box zum Wiederverschließen mit Aufreißperforation verpackt.<br>NUK ULTRA DRY COMFORT Stilleinlagen - Für ein Höchstmaß an Sicherheit und Tragekomfort.<br>Extrem saugstark: Maximales Speichervolumen durch spezielle Innenschicht mit Flüssigkeitsdepot<br>Hautfreundlich und sanft: Atmungsaktive Außenschicht sorgt für Luftzirkulation und supersoftes Innenvlies klebt nicht an der Haut<br>Perfekte Passform: Körpergerechte Padform mit vergrößertem Durchmesser passt sich der Brust perfekt an und trägt nicht auf<br>Sicher: NUK Fixierstreifen sorgt für sicheren Halt im BH<br>Besonders hygienisch - einzeln verpackt    </div>",No,,,0,/nuk/nuk-ultra-dry-comfort-stilleinlage-60-fs-nuk_10252081.jpg,,,,,NUK ULTRA DRY COMFORT STILLEINLAGE 60/FS,NUK ULTRA DRY COMFORT STILLEINLAGE 60/FS,NUK ULTRA DRY COMFORT STILLEINLAGE 60/FS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-ULTRA-DRY-COMFORT-STILLEINLAGE-60-FS,,,Product Info Column,,"9,86",0,,,,/nuk/nuk-ultra-dry-comfort-stilleinlage-60-fs-nuk_10252081.jpg,,,,,1,2,/nuk/nuk-ultra-dry-comfort-stilleinlage-60-fs-nuk_10252081.jpg,,,NUK ULTRA DRY COMFORT STILLEINLAGE 60/FS,NUK ULTRA DRY COMFORT STILLEINLAGE 60/FS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-nuk_10172040,base,Baby,simple,[Default Category]/Babyartikel/NUK,base,,,,NUK,,,,,Germany,,,,,,"<div class=""std"">
        <h1>NUK Latex Beruhigungssauger (Schnuller) Trendline ohne Ring, Größe 2 (6-18 Monate), kiefergerecht, BPA-frei, 2 Stück, Farbe nicht frei wählbar</h1>Wenn Babies strampeln, greifen, das Köpfchen heben oder an einem Schnuller saugen, ist all das ein wichtiger Teil ihres täglichen Trainingsprogramms, denn es müssen Muskeln in den Beinen und Armen, im Rücken und eben auch im Gesicht aufgebaut und trainiert werden. Das Zusammenspiel von beweglicher Zunge, kräftigen Kiefermuskeln und einer richtig geformten Gaumenwölbung ist eine wichtige Voraussetzung für gesunde, störungsfreie Atmung, problemlose Nahrungsaufnahme und die spätere Sprachentwicklung.<br>Der NUK TRENDLINE Beruhigungssauger hat die kiefergerechte NUK Form, eine anatomisch geformte Mundplatte aus hochwertigem Kunststoff und ist verschiedenen Motivkombinationen erhältlich. Alle NUK Beruhigungssauger haben das NUK AIR SYTEM. Durch ein Ventil kann die Luft aus dem Lutschteil entweichen. Es bleibt weich und hinreichend flach, um so Kieferverformungen vorbeugen zu können. Latex zeichnet sich besonders durch hohe Elastizität, extreme Belastbarkeit, große Zug- und Reißfestigkeit, außergewöhnliche Flexibilität, umweltfreundliche Entsorgung und die fehlende Bereitschaft zur statischen Aufladung aus, d.h. Latex ist also nicht staubanziehend.<br>Für eine gesunde Oralentwicklung:<br>Der NUK TRENDLINE Beruhigungssauger – ein wichtiges „Sportgerät“ für kleine Champions.<br>Kiefergerechte NUK Form<br>Anatomisch geformte Mundplatte aus hochwertigem Kunststoff<br>Lutschteil aus Latex<br>BPA frei<br>Verschiedene Farb- und Motivkombinationen, eine Vorauswahl ist leider nicht möglich    </div>",No,,,0,/nuk/nuk-trendline-la-gr-ii-nuk_10172040.jpg,,,,,NUK TRENDLINE LA GR.II,NUK TRENDLINE LA GR.II,NUK TRENDLINE LA GR.II - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-TRENDLINE-LA-GR-II,,,Product Info Column,,"5,95",0,,,,/nuk/nuk-trendline-la-gr-ii-nuk_10172040.jpg,,,,,1,2,/nuk/nuk-trendline-la-gr-ii-nuk_10172040.jpg,,,NUK TRENDLINE LA GR.II,NUK TRENDLINE LA GR.II.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
