sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-victorinox_1.3703.t7,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Climber SilverTech</h1> <br><h3>Tools</h3>1.Grosse Klinge <br>2.Kleine Klinge <br>3.Dosenöffner mit<br>4.-kleiner Schraubendreher<br>5.Korkenzieher <br>6.Stech-Bohr-Nähahle <br>7.Ring, inox <br>8.Zahnstocher <br>9.Pinzette <br>10.Mehrzweckhaken (Paketträger) <br>11.Kapselheber mit<br>12.-Schraubendreher<br>13.-Drahtabisolierer<br>14.Schere <h3>Beschreibung</h3>Ob Klettertour oder Trekking-Trip: Der Climber macht, dass Sie weiter kommen.<br>Farbe: SilverTech<br>Geschenkideen: Für den Ultimativen Naturliebhaber, Für Ihre Tochter, Für Ihren Vater, Für Ihre Mutter, Für Ihren Sohn<h3>Länge mm</h3>91<h3>Breite mm</h3>27<h3>Höhe mm</h3>18    </div>",No,,,0,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,,,Climber SilverTech transparent silber,Climber SilverTech transparent silber,Climber SilverTech transparent silber - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Climber-SilverTech-transparent-silber,,,Product Info Column,,"36,00",0,,,,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,,,1,2,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,Climber SilverTech transparent silber,Climber SilverTech transparent silber.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6163,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Rally</h1> <br><h3>Tools</h3><br>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Zahnstocher <br>5.Pinzette <br>6.Klinge <br>7.Kapselheber mit<br>8.-magnet. Phillips-Schraubendreher<br>9.-Drahtabisolierer <h3>Beschreibung</h3>Mit neun Funktionen – darunter einem magnetischen Phillips-Schraubendreher – erlaubt Rally die wichtigsten Handgriffe, um stets startklar zu sein.<br>Farbe: Rot<h3>Länge mm</h3>58<h3>Breite mm</h3>20<h3>Höhe mm</h3>9    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,,,"Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kl-Taschenwerkzeug-Rally-rot,,,Product Info Column,,"11,10",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,"Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6366.t2,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Midnite Manager Rubin</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.LED Leuchtdiode rot <br>8.Kapselheber mit<br>9.-magnet. Phillips-Schraubendreher<br>10.-Drahtabisolierer<h3>Beschreibung</h3>Der ideale Assistent für lange Arbeitstage: mit hell leuchtendem weissen LED und 10 nützlichen Funktionen.<br>Farbe: Blau Transparent<br>Geschenkideen: Für Ihren Vater, Für Ihren Sohn<br><h3>Länge mm</h3>58<h3>Breite mm</h3>19,5<h3>Höhe mm</h3>14    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,,,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transparent-LED-weiss,,,Product Info Column,,"41,50",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6226.t2,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Signature Lite</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.LED, Leuchtdiode weiss<h3>Beschreibung</h3>Dank hell leuchtendem LED schreiben Sie auch im Dunkeln.<br>Farbe: Blau Transparent<h3>Länge mm</h3>58<h3>Breite mm</h3>18<h3>Höhe mm</h3>10    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,,,"Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transp-LED-weiss,,,Product Info Column,,"31,50",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,"Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6365.t2,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manager Saphir</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.Pinzette oder Zahnstocher <br>8.Kapselheber mit<br>9.-magnet. Phillips-Schraubendreher<br>10.-Drahtabisolierer<h3>Beschreibung</h3>Der Manager unter den Taschenwerkzeugen glänzt mit vielen Talenten: Vom Kugelschreiber bis zum magnetischen Phillips-Schraubendreher.<br>Farbe: Blau Transparent<h3>Länge mm</h3>58<h3>Breite mm</h3>19,5<h3>Höhe mm</h3>12    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transp-,,,Product Info Column,,"28,00",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6366.t,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Midnite Manager Rubin</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.LED Leuchtdiode rot <br>8.Kapselheber mit<br>9.-magnet. Phillips-Schraubendreher<br>10.-Drahtabisolierer<h3>Beschreibung</h3>Der ideale Assistent für lange Arbeitstage: mit hell leuchtendem weissen LED und 10 nützlichen Funktionen.<br>Farbe: Rot Transparent<br>Geschenkideen: Für Ihren Vater, Für Ihren Sohn<h3>Länge mm</h3>58<h3>Breite mm</h3>19,5<h3>Höhe mm</h3>14    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,"41,50",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6365.t,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manager Rubin</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.Pinzette oder Zahnstocher <br>8.Kapselheber mit<br>9.-magnet. Phillips-Schraubendreher<br>10.-Drahtabisolierer<h3>Beschreibung</h3>Der Manager unter den Taschenwerkzeugen glänzt mit vielen Talenten: Vom Kugelschreiber bis zum magnetischen Phillips-Schraubendreher.<br>Farbe: Rot Transparent<h3>Länge mm</h3>58<h3>Breite mm</h3>19,5<h3>Höhe mm</h3>12    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,"28,00",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6226.t,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Signature Lite</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Kugelschreiber <br>5.Klinge <br>6.Schere <br>7.LED, Leuchtdiode weiss<h3>Beschreibung</h3>Dank hell leuchtendem LED schreiben Sie auch im Dunkeln.<br>Farbe: Rot Transparent<h3>Länge mm</h3>58<h3>Breite mm</h3>18<h3>Höhe mm</h3>12    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,"31,50",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6123,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Escort</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Schraubendreher<br>3.Ring, inox <br>4.Zahnstocher <br>5.Pinzette <br>6.Klinge<h3>Beschreibung</h3>Leicht, elegant und praktisch, macht das Taschenwerkzeug an jedem Schlüsselbund eine gute Figur.<br>Farbe: Rot<h3>Länge mm</h3>58<h3>Breite mm</h3>18<h3>Höhe mm</h3>8    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Escort-rot,,,Product Info Column,,"9,50",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-victorinox_0.6203,base,Kitchen,simple,[Default Category]/Taschen-Tools/Taschenmesser/,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Classic</h1> <br><h3>Tools</h3>1.Nagelfeile mit<br>2.-Nagelreiniger<br>3.Ring, inox <br>4.Zahnstocher <br>5.Pinzette <br>6.Klinge <br>7.Schere <h3>Beschreibung</h3>Klein, aber mit Klasse, begleitet Sie dieses Taschenwerkzeug durch Geschäftsleben und Freizeit.<br>Farbe: Rot<h3>Länge mm</h3>58<h3>Breite mm</h3>18<h3>Höhe mm</h3>9    </div>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Classic-rot,,,Product Info Column,,"15,30",0,,,,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
