sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wmf_1879961000,base,Kitchen,simple,[Default Category]/Küchenwaren/Schneidebrett,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schneidbrett 38 x 25 cm</h1>Schneidbretter aus Kunststoff sind die richtige Unterlage für das Schneiden mit hochwertigen Haushaltsmessern. Das Material schont die Klingen und ist komplett geschmacksneutral. Die Schneidbretter aus Kunststoff haben den Vorteil, dass sie sich leicht säubern lassen und in der Spülmaschine hygienisch gereinigt werden können. Eine Saftrille verhindert, dass austretender Saft beim Schneiden auf dem Schneidbrett auf die Arbeitsplatte läuft. Wir empfehlen für einen normalen Haushalt mindestens 2 Schneidbretter in unterschiedlichen Größen zum Zubereiten von kleineren und größeren Mengen. Wegen der Salmonellengefahr sollten Sie in den heißen Monaten zwei unterschiedliche Schneidbretter zur Hand haben. Eins sollten Sie für gefährdete Lebensmittel wie Eier und Geflügel verwenden. Bei WMF gibt es keine Schneidbretter aus Glas oder Stein - diese sind zwar hygienisch und gut zu reinigen, aber aufgrund ihrer harten Oberfläche machen sie scharfe Messer sehr schnell stumpf.<br><h3>Material </h3>Kunststoff<br><h3>Maße </h3>Länge x Breite in cm: 38 x 25<br><h3>Eigenschaften </h3>mit Anti-Rutschstiften und Saftrille    </div>",No,,,0,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,,,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneidebrett-38-x-25cm-MIT,,,Product Info Column,,"34,95",0,,,,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,,,1,2,/wmf/kochen/schneidebrett-38-x-25cm-mit-wmf_1879961000.jpg,,,Schneidebrett 38 x 25cm MIT,Schneidebrett 38 x 25cm MIT.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875456040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Wender Kunststoff Black Line</h1>Features: -Design: Metz &amp; Kindler Produktdesign. -Modernes Design. -Polierte Ausführung. -Die Softtouch-Griffe liegen durch ihre Anti-Rutsch-Zonen optimal in der Hand und garantieren ermüdungsfreies Arbeiten. Produktart: -Pfannenwender. Material: -Edelstahl. Material: -Kunststoff. Hitzebeständig: -Yes. Spülmaschinenfest: -Yes. Dimensions: Gesamtbreite - von links nach rechts: -35.<br>hitzebeständig bis 270°C<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004    </div>",No,,,0,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,,,Wender Black Line Kunststoff,Wender Black Line Kunststoff,Wender Black Line Kunststoff - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Wender-Black-Line-Kunststoff,,,Product Info Column,,"17,95",0,,,,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,,,1,2,/wmf/kochen/wender-black-line-kunststoff-wmf_1875456040.jpg,,,Wender Black Line Kunststoff,Wender Black Line Kunststoff.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875466040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Backschaufel Kunststoff Black Line</h1>Features: -Design: Metz &amp; Kindler Produktdesign. -Modernes Design. -Polierte Ausführung. -Die Softtouch-Griffe liegen durch ihre Anti-Rutsch-Zonen optimal in der Hand und garantieren ermüdungsfreies Arbeiten. Produktart: -Backschaufel. Material: -Kunststoff. Material: -Edelstahl. Hitzebeständig: -Yes. Spülmaschinenfest: -Yes. Dimensions: Gesamtbreite - von links nach rechts: -35.<br>hitzebeständig bis 270°C<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004    </div>",No,,,0,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,,,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Backschaufel-Black-Line-Kunststoff,,,Product Info Column,,"17,95",0,,,,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,,,1,2,/wmf/kochen/backschaufel-black-line-kunststoff-wmf_1875466040.jpg,,,Backschaufel Black Line Kunststoff,Backschaufel Black Line Kunststoff.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875476040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Schöpflöffel Kunststoff Black Line</h1>Features: -Design: Metz &amp; Kindler Produktdesign. -Modernes Design. -Polierte Ausführung. -Die Softtouch-Griffe liegen durch ihre Anti-Rutsch-Zonen optimal in der Hand und garantieren ermüdungsfreies Arbeiten. Material: -Kunststoff. Material: -Edelstahl. Hitzebeständig: -Yes. Spülmaschinenfest: -Yes. Dimensions: Gesamtbreite - von links nach rechts: -30.<br>hitzebeständig bis 270°C<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004    </div>",No,,,0,/wmf/kochen/schopfloffel-black-line-kunststoff-wmf_1875476040.jpg,,,,,Schöpflöffel BLACK LINE Kunststoff,Schöpflöffel BLACK LINE Kunststoff,Schöpflöffel BLACK LINE Kunststoff - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schopfloffel-BLACK-LINE-Kunststoff,,,Product Info Column,,"17,95",0,,,,/wmf/kochen/schopfloffel-black-line-kunststoff-wmf_1875476040.jpg,,,,,1,2,/wmf/kochen/schopfloffel-black-line-kunststoff-wmf_1875476040.jpg,,,Schpflffel BLACK LINE Kunststoff,Schpflffel BLACK LINE Kunststoff.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875566040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Schneebesen 23 cm Black Line</h1>Die Drähte sind tropfenförmig gebogen und sehr elastisch. Mit dem Schneebesen lassen sich Sahne und leichte Cremes aufschlagen, er eignet sich zum Verschlagen von Eiern und Herstellen von Eierspeisen, zum Steifschlagen von Eischnee und zum Anrühren von Saucen aller Art.<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004<br>Größe: L 23 cm,    </div>",No,,,0,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,,,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneebesen-BLACK-LINE-23cm,,,Product Info Column,,"9,95",0,,,,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,,,1,2,/wmf/kochen/schneebesen-black-line-23cm-wmf_1875566040.jpg,,,Schneebesen BLACK LINE 23cm,Schneebesen BLACK LINE 23cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875646040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Pizzaschneider Black Line</h1>Großes Teigrad mit scharfem Rad zum Schneiden von Pizza oder Blechkuchen auf dem Backblech. Das Drehen des Rads verhindert Kratzer auf dem Blech. Der Griff hat einen Fingerschutz. Mit dem Pizza-Schneider lässt sich auch frisch ausgewellter Nudelteig portionieren.<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004<br>Größe: L 20 cm,    </div>",No,,,0,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,,,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Pizzaschneider-BLACK-LINE,,,Product Info Column,,"17,95",0,,,,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,,,1,2,/wmf/kochen/pizzaschneider-black-line-01_1873.jpg,,,Pizzaschneider BLACK LINE,Pizzaschneider BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875676040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Apfelausstecher Black Line</h1>Durch den gezackten Rand lässt sich im Handumdrehen das Kerngehäuse auslösen. Gehackte Nüsse und etwas Honig einfüllen und ab damit in den Backofen. Ein Tipp zur Anwendung: Wer’s lieber deftig mag – auch Kohlrabi oder Kartoffeln lassen sich damit gut ausstechen. Sie schmecken herrlich mit einer Füllung aus Kräutern, Zwiebeln, Oliven, …<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004<br>Größe: L 23 cm,    </div>",No,,,0,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,,,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Apfelausstecher-BLACK-LINE,,,Product Info Column,,"12,95",0,,,,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,,,1,2,/wmf/kochen/apfelausstecher-black-line-wmf_1875676040.jpg,,,Apfelausstecher BLACK LINE,Apfelausstecher BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875816040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Gemüseschäler 19 cm Black Line</h1>Für alle Gemüsesorten die dünn geschält werden müssen wie Kartoffeln, Karotten, Gurken.<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004<br>Größe: L 19 cm,    </div>",No,,,0,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,,,Gemüseschäler BLACK LINE,Gemüseschäler BLACK LINE,Gemüseschäler BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Gemuseschaler-BLACK-LINE,,,Product Info Column,,"9,95",0,,,,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,,,1,2,/wmf/kochen/gemuseschaler-black-line-wmf_1875816040.jpg,,,Gemseschler BLACK LINE,Gemseschler BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1875836040,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>WMF Sparschäler Black Line</h1>Ideal zum Schälen von Kartoffeln, Möhren, Gurken und Äpfeln. Im Black Line Design, die Kollektion mit dem Kniff im Griff. Die Softtouch-Griffe liegen durch ihre Anti-Rutsch-Zonen optimal in der Hand und garantieren ermüdungsfreies Arbeiten. Können jederzeit durch die Metallaufhängung an einer Hängeleiste aufbewahrt werden.<br>Material: Cromargan® Edelstahl Rostfrei 18/10, poliert, softtouch Griffe Kunststoff<br>Designer: Metz &amp; Kindler Produktdesign<br>Guetesiegel: spülmaschinenfest<br>Auszeichnungen: red dot award Design Zentrum NRW 2004<br>Größe: L 18 cm,    </div>",No,,,0,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,,,Sparschäler BLACK LINE,Sparschäler BLACK LINE,Sparschäler BLACK LINE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Sparschaler-BLACK-LINE,,,Product Info Column,,"14,95",0,,,,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,,,1,2,/wmf/kochen/sparschaler-black-line-wmf_1875836040.jpg,,,Sparschler BLACK LINE,Sparschler BLACK LINE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wmf_1879884500,base,Kitchen,simple,[Default Category]/Küchenwaren/Schneidebrett,base,,,,WMF,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Schneidbrett mit Schale</h1>Das Holz-Schneidbrett ist sehr massiv und aus robustem Eichenholz hergestellt. Es ist meist sehr groß und schwer, sodass das Holz-Schneidbrett auch für gröbste Arbeiten eine standhafte und sichere Grundlage bietet. Da Holz weicher ist als der Klingenstahl, bietet dieses Schneidbrett eine nachgiebige und somit klingenschonende Unterlage für jegliche Art von Schneidarbeiten. Unter dem Schneidbrett befindet sich eine Cromargan®-Schale, in die das Schneidgut fällt. Diese Schale kann auch optimal zum Servieren verwendet werden.<br><h3>Material </h3>Eichenholz<br>Cromargan® Edelstahl Rostfrei 18/10<br><h3>Maße </h3>Länge x Breite in cm: 36 x 26    </div>",No,,,0,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,,,Schneidebrett 26x36cm,Schneidebrett 26x36cm,Schneidebrett 26x36cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schneidebrett-26x36cm,,,Product Info Column,,"89,95",0,,,,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,,,1,2,/wmf/kochen/schneidebrett-26x36cm-wmf_1879884500--3.jpg,,,Schneidebrett 26x36cm,Schneidebrett 26x36cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
