sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-wüsthof_3043o,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/gemusemesser-orange-wuesthof_3043o.jpg,,,,,"Gemüsemesser, orange","Gemüsemesser, orange","Gemüsemesser, orange - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Gemusemesser-orange,,,Product Info Column,,"4,50",0,,,,/wuesthof/gemusemesser-orange-wuesthof_3043o.jpg,,,,,1,2,/wuesthof/gemusemesser-orange-wuesthof_3043o.jpg,,,"Gemsemesser, orange","Gemsemesser, orange.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9313,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/schal-gemusem-set-2-tlg--wuesthof_9313.jpg,,,,,"Schäl- Gemüsem. Set , 2 tlg.","Schäl- Gemüsem. Set , 2 tlg.","Schäl- Gemüsem. Set , 2 tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schal-Gemusem-Set-2-tlg-,,,Product Info Column,,"8,90",0,,,,/wuesthof/schal-gemusem-set-2-tlg--wuesthof_9313.jpg,,,,,1,2,/wuesthof/schal-gemusem-set-2-tlg--wuesthof_9313.jpg,,,"Schl- Gemsem. Set , 2 tlg.","Schl- Gemsem. Set , 2 tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9883,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/bbq-set-wuesthof_9883.jpg,,,,,BBQ Set,BBQ Set,BBQ Set - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,BBQ-Set,,,Product Info Column,,"79,90",0,,,,/wuesthof/bbq-set-wuesthof_9883.jpg,,,,,1,2,/wuesthof/bbq-set-wuesthof_9883.jpg,,,BBQ Set,BBQ Set.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9875,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/messerblock-mit-7-teilen-wuesthof_9875.jpg,,,,,Messerblock mit 7 Teilen,Messerblock mit 7 Teilen,Messerblock mit 7 Teilen - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Messerblock-mit-7-Teilen,,,Product Info Column,,"415,00",0,,,,/wuesthof/messerblock-mit-7-teilen-wuesthof_9875.jpg,,,,,1,2,/wuesthof/messerblock-mit-7-teilen-wuesthof_9875.jpg,,,Messerblock mit 7 Teilen,Messerblock mit 7 Teilen.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9753,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/yanagiba-geschenkset-wuesthof_9753.jpg,,,,,Yanagiba Geschenkset,Yanagiba Geschenkset,Yanagiba Geschenkset - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Yanagiba-Geschenkset,,,Product Info Column,,"99,00",0,,,,/wuesthof/yanagiba-geschenkset-wuesthof_9753.jpg,,,,,1,2,/wuesthof/yanagiba-geschenkset-wuesthof_9753.jpg,,,Yanagiba Geschenkset,Yanagiba Geschenkset.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9343r,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/gemusemesser-set-2-tlg-rot-wuesthof_9343r.jpg,,,,,"Gemüsemesser Set, 2 tlg., rot","Gemüsemesser Set, 2 tlg., rot","Gemüsemesser Set, 2 tlg., rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Gemusemesser-Set-2-tlg-rot,,,Product Info Column,,"8,90",0,,,,/wuesthof/gemusemesser-set-2-tlg-rot-wuesthof_9343r.jpg,,,,,1,2,/wuesthof/gemusemesser-set-2-tlg-rot-wuesthof_9343r.jpg,,,"Gemsemesser Set, 2 tlg., rot","Gemsemesser Set, 2 tlg., rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9343,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/gemusemesser-set-2-tlg--wuesthof_9343.jpg,,,,,"Gemüsemesser Set, 2 tlg.","Gemüsemesser Set, 2 tlg.","Gemüsemesser Set, 2 tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Gemusemesser-Set-2-tlg-,,,Product Info Column,,"8,90",0,,,,/wuesthof/gemusemesser-set-2-tlg--wuesthof_9343.jpg,,,,,1,2,/wuesthof/gemusemesser-set-2-tlg--wuesthof_9343.jpg,,,"Gemsemesser Set, 2 tlg.","Gemsemesser Set, 2 tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9341r,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/pizza-steakm-set-2-tlg-rot-wuesthof_9341r.jpg,,,,,"Pizza- / Steakm. Set, 2 tlg., rot","Pizza- / Steakm. Set, 2 tlg., rot","Pizza- / Steakm. Set, 2 tlg., rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizza-Steakm-Set-2-tlg-rot,,,Product Info Column,,"9,90",0,,,,/wuesthof/pizza-steakm-set-2-tlg-rot-wuesthof_9341r.jpg,,,,,1,2,/wuesthof/pizza-steakm-set-2-tlg-rot-wuesthof_9341r.jpg,,,"Pizza- / Steakm. Set, 2 tlg., rot","Pizza- / Steakm. Set, 2 tlg., rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9341,base,Kitchen,simple,[Default Category]/Küchenwaren/Küchenhelfer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/pizza-steakm-set-2-tlg--wuesthof_9341.jpg,,,,,"Pizza- / Steakm. Set, 2 tlg.","Pizza- / Steakm. Set, 2 tlg.","Pizza- / Steakm. Set, 2 tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizza-Steakm-Set-2-tlg-,,,Product Info Column,,"9,90",0,,,,/wuesthof/pizza-steakm-set-2-tlg--wuesthof_9341.jpg,,,,,1,2,/wuesthof/pizza-steakm-set-2-tlg--wuesthof_9341.jpg,,,"Pizza- / Steakm. Set, 2 tlg.","Pizza- / Steakm. Set, 2 tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-wüsthof_9333o,base,Kitchen,simple,[Default Category]/Küchenwaren/Messer,base,,,,Wuesthof,,,,,Germany,,,,,,"<div class=""std"">
        description    </div>",No,,,0,/wuesthof/kuchenmesser-set-3-tlg-orange-wuesthof_9333o.jpg,,,,,"Küchenmesser Set, 3 tlg., orange","Küchenmesser Set, 3 tlg., orange","Küchenmesser Set, 3 tlg., orange - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuchenmesser-Set-3-tlg-orange,,,Product Info Column,,"14,50",0,,,,/wuesthof/kuchenmesser-set-3-tlg-orange-wuesthof_9333o.jpg,,,,,1,2,/wuesthof/kuchenmesser-set-3-tlg-orange-wuesthof_9333o.jpg,,,"Kchenmesser Set, 3 tlg., orange","Kchenmesser Set, 3 tlg., orange.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
