sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-zielonka_50321,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zielonka Geruchskiller zilosoap® active schwarz</h1>Doppelte Wirksamkeit: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Aktive - Silber und Spezial Edelstahl in Kombination<br>Diese unscheinbare zilosoap aktive hat es in sich, sie befreit Ihre Hände von Gerüchen und Bakterien, so leicht wie Händewaschen. Das ganze ohne Chemie.<br>Wieder eine Neuheit aus Deutschland, hautverträglich nicht Teurer als eine gute Seife. Durch unabhängige Test bestätigt.<br>Bei jedem Händewaschen werden zu 6 Billionen Silber-Ionen freigesetzt. Diese töten die Bakterien, indem sie deren Energieerzeugung blockieren.<br>Durch feine Noppen wird für eine ordentliche Durchblutung der Haut gesorgt, die Mininagelbürste am Rand sorgt für hilfreiche Pflege Ihrer Fingernägel.<br>Der Spezialedelstahlkern sorgt für geruchsfreie Hände, er wirkt wie ein Katalysator, Geruchsmolekühle werden dabei einfach umgewandelt. Gerüche werden nicht überlagert sondern Neutralisiert.<br>Anmerkung zum Artikel: Fachhändler mit Ladengeschäft - 10 Jahre Onlinehandel<br>Material: Edelstahl<br>Ausführung: Antibakteriell<br>Besonderheiten: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Geeignet für: Körperpflege<br>Gehäuse-Material: Kunststoff<br>Zielgruppe: Unisex    </div>",No,,,0,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,,,"Zilosoap active, schwarz","Zilosoap active, schwarz","Zilosoap active, schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-schwarz,,,Product Info Column,,"9,95",0,,,,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,"Zilosoap active, schwarz","Zilosoap active, schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50325,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zielonka Geruchskiller zilosoap® active rosa</h1>Doppelte Wirksamkeit: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Aktive - Silber und Spezial Edelstahl in Kombination<br>Diese unscheinbare zilosoap aktive hat es in sich, sie befreit Ihre Hände von Gerüchen und Bakterien, so leicht wie Händewaschen. Das ganze ohne Chemie.<br>Wieder eine Neuheit aus Deutschland, hautverträglich nicht Teurer als eine gute Seife. Durch unabhängige Test bestätigt.<br>Bei jedem Händewaschen werden zu 6 Billionen Silber-Ionen freigesetzt. Diese töten die Bakterien, indem sie deren Energieerzeugung blockieren.<br>Durch feine Noppen wird für eine ordentliche Durchblutung der Haut gesorgt, die Mininagelbürste am Rand sorgt für hilfreiche Pflege Ihrer Fingernägel.<br>Der Spezialedelstahlkern sorgt für geruchsfreie Hände, er wirkt wie ein Katalysator, Geruchsmolekühle werden dabei einfach umgewandelt. Gerüche werden nicht überlagert sondern Neutralisiert.<br>Anmerkung zum Artikel: Fachhändler mit Ladengeschäft - 10 Jahre Onlinehandel<br>Material: Edelstahl<br>Ausführung: Antibakteriell<br>Besonderheiten: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Geeignet für: Körperpflege<br>Gehäuse-Material: Kunststoff<br>Zielgruppe: Unisex    </div>",No,,,0,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,,,"Zilosoap active, rosa","Zilosoap active, rosa","Zilosoap active, rosa - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-rosa,,,Product Info Column,,"9,95",0,,,,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,"Zilosoap active, rosa","Zilosoap active, rosa.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50320,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zielonka Geruchskiller zilosoap® active blau</h1>Doppelte Wirksamkeit: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Aktive - Silber und Spezial Edelstahl in Kombination<br>Diese unscheinbare zilosoap aktive hat es in sich, sie befreit Ihre Hände von Gerüchen und Bakterien, so leicht wie Händewaschen. Das ganze ohne Chemie.<br>Wieder eine Neuheit aus Deutschland, hautverträglich nicht Teurer als eine gute Seife. Durch unabhängige Test bestätigt.<br>Bei jedem Händewaschen werden zu 6 Billionen Silber-Ionen freigesetzt. Diese töten die Bakterien, indem sie deren Energieerzeugung blockieren.<br>Durch feine Noppen wird für eine ordentliche Durchblutung der Haut gesorgt, die Mininagelbürste am Rand sorgt für hilfreiche Pflege Ihrer Fingernägel.<br>Der Spezialedelstahlkern sorgt für geruchsfreie Hände, er wirkt wie ein Katalysator, Geruchsmolekühle werden dabei einfach umgewandelt. Gerüche werden nicht überlagert sondern Neutralisiert.<br>Anmerkung zum Artikel: Fachhändler mit Ladengeschäft - 10 Jahre Onlinehandel<br>Material: Edelstahl<br>Ausführung: Antibakteriell<br>Besonderheiten: Beseitigt zu 99,4 % aller Bakterien und Gerüche<br>Geeignet für: Körperpflege<br>Gehäuse-Material: Kunststoff<br>Zielgruppe: Unisex    </div>",No,,,0,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,,,"Zilosoap active, blau","Zilosoap active, blau","Zilosoap active, blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-blau,,,Product Info Column,,"9,95",0,,,,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,"Zilosoap active, blau","Zilosoap active, blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50106,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop® Acryl weiss</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: Acryl weiss<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,,,"Zilopop,Acryl weiss","Zilopop,Acryl weiss","Zilopop,Acryl weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Acryl-weiss,,,Product Info Column,,"9,99",0,,,,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,,,1,2,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,"Zilopop,Acryl weiss","Zilopop,Acryl weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50109,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop® schwarz/gold</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: schwarz/gold<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,,,"Zilopop, schwarz/gold","Zilopop, schwarz/gold","Zilopop, schwarz/gold - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-schwarz-gold,,,Product Info Column,,"15,95",0,,,,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,"Zilopop, schwarz/gold","Zilopop, schwarz/gold.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50108,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop® schwarz/chrom</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: schwarz/chrom<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,,,"Zilopop, schwarz/chrom","Zilopop, schwarz/chrom","Zilopop, schwarz/chrom - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-schwarz-chrom,,,Product Info Column,,"13,95",0,,,,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,"Zilopop, schwarz/chrom","Zilopop, schwarz/chrom.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50110,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop® Schwarz</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: Schwarz<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,,,"Zilopop, Schwarz","Zilopop, Schwarz","Zilopop, Schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Schwarz,,,Product Info Column,,"9,99",0,,,,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,"Zilopop, Schwarz","Zilopop, Schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50151,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Zielonka zilogusto Duo - Probierlöffel schwarz</h1>Das perfekte Abstimmen der Gewürze ist das A und O beim Kochen. Dabei hilft Ihnen jetzt der neue zilogusto. Der Duo-Probierlöffel besteht aus dem Lutscher, der störende Aromen im Mund vor dem Probieren neutralisiert, und dem Löffel, der durch seine spezielle Form feinstes Abschmecken erlaubt.<br>Lutscher:<br>- Lebensmittelechter Kunststoff, spülmaschinenfest<br>- Neutralisiert selbst hartnäckigste Geschmäcke im Mund vor dem Abschmecken der Speisen<br>- Hält ein Leben lang und verbraucht sich nicht<br>Löffel:<br>- Edelstahl 18/10, spülmaschinenfest<br>- Flache und breite Laffenform für perfekte Auffächerung der Aromen und schnelles Auskühlen der Speisen<br>- Spezieller Neigungswinkel der Laffe zum Probieren von Suppen und Soßen<br>- Extra langer Löffelstiel auch für tiefe Töpfe<br>- Messmarkierung für genaue Portionierung (5 ml = 1 TL, 15 ml = 1 EL)    </div>",No,,,0,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,,,"Zilopop, Schwarz","Zilopop, Schwarz","Zilopop, Schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Schwarz,,,Product Info Column,,"5,83",0,,,,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,"Zilopop, Schwarz","Zilopop, Schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50100,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop®, Rot</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: Rot<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,,,"Zilopop, rot","Zilopop, rot","Zilopop, rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-rot,,,Product Info Column,,"9,99",0,,,,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,,,1,2,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,"Zilopop, rot","Zilopop, rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zielonka_50105,base,Default,simple,[Default Category]/Haushaltwaren/Geruchsstopper/,base,,,,Zielonka,,,,,Germany,,,,,,"<div class=""std"">
        <h1>zilopop® magenta</h1>Mit dem zilopop® ist Ihr Atem immer frisch.<br>Beseitigt alle Gerüche, wie Knoblauch, Zwiebeln, Alkohol oder Zigarettengeruch in Ihrem Mundraum<br>Ideal für unterwegs, im Auto oder in der Handtasche<br>Lebensmittelecht und geschmacksneutral<br>Verbraucht sich nicht, hält ein Leben lang<br>Ohne Zusätze, daher sehr umweltfreundlich<br>Mit praktischem Band zum Umhängen<br>Farbe: magenta<br><h3>Anwendung:</h3>Benutzen Sie den zilopop® wie einen Lutscher. Schon nach 2-4 Min. hat der spezielle Edelstahl Gerüche in Ihrem Mundraum beseitigt.    </div>",No,,,0,/zielonka/zilopp/zilopop-magenta-01_1634.jpg,,,,,"Zilopop, magenta","Zilopop, magenta","Zilopop, magenta - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-magenta,,,Product Info Column,,"9,99",0,,,,/zielonka/zilopp/zilopop-magenta-01_1634.jpg,,,,,1,2,/zielonka/zilopp/zilopop-magenta-01_1634.jpg,,,"Zilopop, magenta","Zilopop, magenta.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
