sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
de-zwilling_47320-091-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Nagelschere, vernickelt 90 mm</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Nagelscheren<h3>Beschreibung</h3>TWIN® Classic umfaßt eine ausgesuchte umfangreiche Kollektion hochwertiger, vernickelter Manicure Stahlwaren in bewährter ZWILLING Qualität.<br>Das TWIN® Classic Manicure Sortiment ermöglicht eine individuelle Nagelpflege.<h3>Extra Info</h3>Nagelscheren sind kleine, stabile Scheren mit kurzer, meist gebogener Schneide.<br>Sie werden zum Kürzen und Formschneiden von Finger- und Fußnägeln benutzt.<br>Nagelscheren mit extra angeschliffener Spitze werden Kombischeren genannt. Mit ihnen lassen sich sowohl Fingernägel als auch feine Ecken und Nagelhäutchen bearbeiten.<br>Eine gute Schere zeichnet sich durch ihren glatten, gleichmäßigen Gang, den griffigen Schnitt und die komfortable Größe der Griffringe (Augen) aus. Besonders hochwertige Scheren haben eine Schneide mit feinster Mikrozahnung. Qualitativ hochwertige Manicure Scheren sind außerdem verschraubt. So können sie bei der Montage nicht nur sehr fein justiert, sondern bei Bedarf problemlos nachgeschärft und eingestellt werden.<br>Die gebogene Schneide ist dafür besonders gut geeignet. Die in Form geschnittenen Nägel werden anschließend mit einer Nagelfeile geglättet und nachgefeilt.<br><br>- Kohlenstoffstahl vernickelt, geschmiedet<br><br>- TWINOX Edelstahl rostfrei, geschmiedet, satiniert<h3>Abmessungen</h3>90 mm<h3>Serie</h3>TWIN® CLASSIC<h3>Länge mm</h3>184<h3>Breite mm</h3>67<h3>Höhe mm</h3>10    </div>",No,,,0,/zwilling/beauty/nagelschere-01_386.jpg,,,,,Nagelschere,Nagelschere,Nagelschere - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Nagelschere,,,Product Info Column,,"25,95",0,,,,/zwilling/beauty/nagelschere-01_386.jpg,,,,,1,2,/zwilling/beauty/nagelschere-01_386.jpg,,,Nagelschere,Nagelschere.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_49660-091-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Hautschere, mattiert  90 mm</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Hautscheren, rostfrei<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Hautscheren sind kleine, feine Scheren mit gebogener, dünner und sehr spitzer Schneide. Ihre Aufgabe ist das Entfernen gelöster Nagelhaut und überstehender Hautreste am Nagelbett.<br><br>Hautscheren mit extra angeschliffener Spitze, auch „Turmspitze“ genannt, haben ein besonders feines und dünnes Blatt. Um die filigrane Spitze der Schere nicht zu beschädigen, sollten Hautscheren nur für den vorgesehenen Zweck eingesetzt werden.<br><br>Charakteristisch für Hautscheren ist die so genannte gehonte Schneide. Sie ist extra fein, dünn geschliffen und hochglanzpoliert.<br><br>Vor dem Entfernen der Nagelhaut sollte der Nagelbereich in einer lauwarmen Emulsion aus Wasser und Öl bzw. Seife eingeweicht werden. Die behutsam zurück geschobene Nagelhaut lässt sich anschließend mit der Hautschere sauber entfernen. Zum Abschluss kann eine pflegende Creme aufgetragen werden.<br><br>- Kohlenstoffstahl, vernickelt, geschmiedet <br>- TWINOX Edelstahl rostfrei, geschmiedet, satiniert<h3>Abmessungen</h3>90 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>95<h3>Breite mm</h3>97<h3>Höhe mm</h3>6    </div>",No,,,0,/zwilling/beauty/hautschere-mattiert-01_463.jpg,,,,,"Hautschere, mattiert","Hautschere, mattiert","Hautschere, mattiert - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Hautschere-mattiert,,,Product Info Column,,"36,95",0,,,,/zwilling/beauty/hautschere-mattiert-01_463.jpg,,,,,1,2,/zwilling/beauty/hautschere-mattiert-01_463.jpg,,,"Hautschere, mattiert","Hautschere, mattiert.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_42579-101-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Hautzange, mattiert  100 mm</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Hautzangen, rostfrei<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Hautzangen sind stabile Instrumente zum sauberen Entfernen von Nagelhaut und Hautresten bis in die Ecken des Nagelbettes.<br><br>Für die unterschiedlichen Anwendungen werden verschiedene Schneidenlängen angeboten.<br><br>Die gehonte Schneide (siehe S. 16) ist ebenfalls ein Feature der Hautzange. Fein geschliffen und hochglanzpoliert macht diese Art der Schneidenbehandlung die Nagelhautbearbeitung besonders komfortabel.<br><br>Unterschieden wird zwischen aufgelegten und durchgesteckten Typen (siehe S. 18).<br><br>Eine entsprechende Vorbehandlung des Nagelbereiches (Bad / Emulsion zum Einweichen) ist sinnvoll. Die weiche, zurück geschobene Nagelhaut lässt sich anschließend problemlos mit der Hautzange entfernen. Zum Abschluss kann eine pflegende Creme aufgetragen werden.<br><br>- Kohlenstoffstahl vernickelt, geschmiedet<br>- TWINOX Edelstahl rostfrei, geschmiedet, satiniert<h3>Abmessungen</h3>100 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>185<h3>Breite mm</h3>77<h3>Höhe mm</h3>13    </div>",No,,,0,/zwilling/beauty/hautzange-twinox-mattiert-01_366.jpg,,,,,"Hautzange, TWINOX, mattiert","Hautzange, TWINOX, mattiert","Hautzange, TWINOX, mattiert - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Hautzange-TWINOX-mattiert,,,Product Info Column,,"50,95",0,,,,/zwilling/beauty/hautzange-twinox-mattiert-01_366.jpg,,,,,1,2,/zwilling/beauty/hautzange-twinox-mattiert-01_366.jpg,,,"Hautzange, TWINOX, mattiert","Hautzange, TWINOX, mattiert.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_78705-201-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Hornhauthobel 140 mm</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Hornhauthobel und Klingen<h3>Beschreibung</h3>TWIN® Classic umfaßt eine ausgesuchte umfangreiche Kollektion hochwertiger, vernickelter Manicure Stahlwaren in bewährter ZWILLING Qualität.<br>Das TWIN® Classic Manicure Sortiment ermöglicht eine individuelle Nagelpflege.<h3>Extra Info</h3>Hornhauthobel mit Klinge - ein Gerät für den Fachmann. Bestückt mit einer auswechselbaren Klinge ist dieser Hornhauthobel sehr wirksam bei dicker Hornhautschicht, aber nur von Profis sicher anwendbar. <br>Die auswechselbare Klinge sollte nach jeder Behandlung aus hygienischen Gründen ausgetauscht und das Gerät gründlich gereinigt werden. <br>Die scharfe Klinge ist zweiseitig nutzbar und durch einen Schiebemechanismus auf dem Klingenhalter arretiert. Der CLASSIC Hornhauthobel ist mit einem Kunststoffgriff ausgerüstet, in dem das Metallfunktionsteil unlösbar verankert ist. <br>Das Arbeiten mit dem Hornhauthobel erfordert größte Sorgfalt und Vorsicht.<br>Daher nochmals der Hinweis - nur für Profis !<br><h3>Abmessungen</h3>140 mm<h3>Serie</h3>TWIN® CLASSIC<h3>Länge mm</h3>210<h3>Breite mm</h3>86<h3>Höhe mm</h3>14    </div>",No,,,0,/zwilling/beauty/hornhauthobel-k1-01_387.jpg,,,,,Hornhauthobel+K1,Hornhauthobel+K1,Hornhauthobel+K1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Hornhauthobel-K1,,,Product Info Column,,"17,95",0,,,,/zwilling/beauty/hornhauthobel-k1-01_387.jpg,,,,,1,2,/zwilling/beauty/hornhauthobel-k1-01_387.jpg,,,Hornhauthobel+K1,Hornhauthobel+K1.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97514-006-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Kulturtasche</h1>    </div>",No,,,0,/zwilling/beauty/kulturtasche-zwilling_97514-006-0.jpg,,,,,Kulturtasche,Kulturtasche,Kulturtasche - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kulturtasche,,,Product Info Column,,"399,00",0,,,,/zwilling/beauty/kulturtasche-zwilling_97514-006-0.jpg,,,,,1,2,/zwilling/beauty/kulturtasche-zwilling_97514-006-0.jpg,,,Kulturtasche,Kulturtasche.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97103-004-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manicure Etui, schwarz</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Manicure-Etuis<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Inhalt: 1x 42440-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 42457-100 Kombbi-Nagelschere mattiert, rostfrei, 93mm, 1x 47355-090  Kombi-Nagelschere, mattiert, rostfrei, 93mm, 1x 78146-100 Pinzette schräg, rot, rostfrei, 1x 78147-100 Pinzette schräg, rot, rostfrei, 1x 88326-130 Saphir-Nagelfeile Edelstahl, mattiert, rostfrei, 130 mm, 1x 88343-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 88345-100 Nagelschere mattiert, rostfrei, 93 mm 1x 97103-104 Etui leer<h3>Abmessungen</h3>140 x 100 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>180<h3>Breite mm</h3>120<h3>Höhe mm</h3>35    </div>",No,,,0,/zwilling/beauty/manicure-8tlg--01_346.jpg,,,,,Manicure 8tlg.,Manicure 8tlg.,Manicure 8tlg. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Manicure-8tlg-,,,Product Info Column,,"329,00",0,,,,/zwilling/beauty/manicure-8tlg--01_346.jpg,,,,,1,2,/zwilling/beauty/manicure-8tlg--01_346.jpg,,,Manicure 8tlg.,Manicure 8tlg..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97106-004-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manicure Etui, schwarz </h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Manicure-Etuis<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Inhalt: 1x 42440-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 79852-100 N&amp;O Haarschneider, 1x 79852-110 Reinigungspinsel, 1x 97106-104 Etui leer.<h3>Abmessungen</h3>45 x 75 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>138<h3>Breite mm</h3>97<h3>Höhe mm</h3>35    </div>",No,,,0,/zwilling/beauty/manicure-etui-01_408.jpg,,,,,Manicure Etui,Manicure Etui,Manicure Etui - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Manicure-Etui,,,Product Info Column,,"97,95",0,,,,/zwilling/beauty/manicure-etui-01_408.jpg,,,,,1,2,/zwilling/beauty/manicure-etui-01_408.jpg,,,Manicure Etui,Manicure Etui.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97092-002-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manicure Etui</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Manicure-Etuis<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Inhalt: 1x 42440-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 47355-090  Kombi-Nagelschere, mattiert, rostfrei, 93mm, 1x 78146-100 Pinzette schräg, rot, rostfrei, 1x 88326-130 Saphir-Nagelfeile Edelstahl, mattiert, rostfrei, 130 mm, 1x 88345-100 Nagelschere mattiert, rostfrei, 93 mm, 1x 97092-102 Etui leer<h3>Abmessungen</h3>110 x 70 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>170<h3>Breite mm</h3>75<h3>Höhe mm</h3>30    </div>",No,,,0,/zwilling/beauty/manicure-etui-rot-01_300.jpg,,,,,"Manicure Etui, rot","Manicure Etui, rot","Manicure Etui, rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Manicure-Etui-rot,,,Product Info Column,,"179,00",0,,,,/zwilling/beauty/manicure-etui-rot-01_300.jpg,,,,,1,2,/zwilling/beauty/manicure-etui-rot-01_300.jpg,,,"Manicure Etui, rot","Manicure Etui, rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97093-002-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manicure Etui </h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Manicure-Etuis<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Inhalt: 1x 42440-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 42457-100 Kombi-Nagelschere 93 mm, mattiert, rostfrei, 1x 47355-090  Kombi-Nagelschere, mattiert, rostfrei, 93mm, 1x 78146-100 Pinzette schräg, rot, rostfrei, 1x 88326-130 Saphir-Nagelfeile Edelstahl, mattiert, rostfrei, 130 mm, 1x 88343-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 88345-100 Nagelschere mattiert, rostfrei, 93 mm, 1x 97093-102 Etui leer<h3>Abmessungen</h3>180 x 94 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>190<h3>Breite mm</h3>120<h3>Höhe mm</h3>40    </div>",No,,,0,/zwilling/beauty/manicure-etui-rot-01_374.jpg,,,,,"Manicure Etui, rot","Manicure Etui, rot","Manicure Etui, rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Manicure-Etui-rot,,,Product Info Column,,"309,00",0,,,,/zwilling/beauty/manicure-etui-rot-01_374.jpg,,,,,1,2,/zwilling/beauty/manicure-etui-rot-01_374.jpg,,,"Manicure Etui, rot","Manicure Etui, rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
de-zwilling_97101-004-0,base,Manicure,simple,[Default Category]/Manikur/,base,,,,Zwilling,,,,,Germany,,,,,,"<div class=""std"">
        <h1>Manicure Etui, schwarz</h1> <br><h3>Segment</h3>Beauty<h3>Kategorie</h3>Manicure-Etuis<h3>Beschreibung</h3>MANICURE INSTRUMENTE AUS EDELSTAHL ROSTFREI.<br>Wenn es um gepflegte Hände und Nägel geht, ist die TWINOX Manicure Serie von ZWILLING erste Wahl. Schon seit vielen<br>Jahren steht der Name ZWILLING für Beauty-Instrumente von herausragender Qualität. TWINOX Nagelscheren und Co. sind die Profis für die perfekte Manicure. Scharf, wo Schärfe verlangt wird, aber schonend für die Haut. Ästhetisch im Design und angenehm im<br>Gebrauch. Erstklassig die Verarbeitung - ganz aus rostfreiem Edelstahl und mit matt gebürsteter Oberfläche. Die TWINOX Manicure Serie von ZWILLING gibt es einzeln oder im Set.<h3>Extra Info</h3>Inhalt: 1x 42440-100 Nagelknipser 60 mm, mattiert, rostfrei, 1x 47355-090  Kombi-Nagelschere, mattiert, rostfrei, 93mm, 1x 78146-100 Pinzette schräg, rot, rostfrei, 1x 88326-130 Saphir-Nagelfeile Edelstahl, mattiert, rostfrei, 130 mm, 1x 88345-100 Nagelschere mattiert, rostfrei, 93 mm 1x 97101-104 Etui leer<h3>Abmessungen</h3>145 x 80 mm<h3>Serie</h3>TWINOX® <h3>Länge mm</h3>170<h3>Breite mm</h3>75<h3>Höhe mm</h3>30    </div>",No,,,0,/zwilling/beauty/manicure-etui-schwarz-01_417.jpg,,,,,"Manicure Etui, schwarz","Manicure Etui, schwarz","Manicure Etui, schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Manicure-Etui-schwarz,,,Product Info Column,,"179,00",0,,,,/zwilling/beauty/manicure-etui-schwarz-01_417.jpg,,,,,1,2,/zwilling/beauty/manicure-etui-schwarz-01_417.jpg,,,"Manicure Etui, schwarz","Manicure Etui, schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
