sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Alfi_1560215100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        description    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-achat-1-0l-liquid-copper-01_1570.jpg,,,,,"Isolierkanne Achat 1,0L  liquid copper","Isolierkanne Achat 1,0L  liquid copper","Isolierkanne Achat 1,0L  liquid copper - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Achat-1-0L-liquid-copper,,,Product Info Column,,99.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-achat-1-0l-liquid-copper-01_1570.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-achat-1-0l-liquid-copper-01_1570.jpg,,,"Isolierkanne Achat 1,0L  liquid copper","Isolierkanne Achat 1,0L  liquid copper.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3542000150,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-senso-1-5l-01_972.jpg,,,,,"Isolierkanne Senso 1,5l","Isolierkanne Senso 1,5l","Isolierkanne Senso 1,5l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Senso-1-5l,,,Product Info Column,,69.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-senso-1-5l-01_972.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-senso-1-5l-01_972.jpg,,,"Isolierkanne Senso 1,5l","Isolierkanne Senso 1,5l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3542000100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-senso-1-0l-01_1040.jpg,,,,,"Isolierkanne Senso 1,0l","Isolierkanne Senso 1,0l","Isolierkanne Senso 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Senso-1-0l,,,Product Info Column,,59.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-senso-1-0l-01_1040.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-senso-1-0l-01_1040.jpg,,,"Isolierkanne Senso 1,0l","Isolierkanne Senso 1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_3542000065,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-senso-0-65l-01_1045.jpg,,,,,"Isolierkanne Senso 0,65l","Isolierkanne Senso 0,65l","Isolierkanne Senso 0,65l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Senso-0-65l,,,Product Info Column,,54.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-senso-0-65l-01_1045.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-senso-0-65l-01_1045.jpg,,,"Isolierkanne Senso 0,65l","Isolierkanne Senso 0,65l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_1852000100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-saphir-verchromt-01_1104.jpg,,,,,"Isolierkanne Saphir, verchromt","Isolierkanne Saphir, verchromt","Isolierkanne Saphir, verchromt - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Saphir-verchromt,,,Product Info Column,,164.80,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-saphir-verchromt-01_1104.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-saphir-verchromt-01_1104.jpg,,,"Isolierkanne Saphir, verchromt","Isolierkanne Saphir, verchromt.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0421217100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        description    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-pallas-liquid-platinum-1-0l-alfi_0421217100.jpg,,,,,"Isolierkanne Pallas, liquid platinum 1,0l","Isolierkanne Pallas, liquid platinum 1,0l","Isolierkanne Pallas, liquid platinum 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Pallas-liquid-platinum-1-0l,,,Product Info Column,,69.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-pallas-liquid-platinum-1-0l-alfi_0421217100.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-pallas-liquid-platinum-1-0l-alfi_0421217100.jpg,,,"Isolierkanne Pallas, liquid platinum 1,0l","Isolierkanne Pallas, liquid platinum 1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0572000075,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1066.jpg,,,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Juwel-Messing-verchromt,,,Product Info Column,,149.30,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1066.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1066.jpg,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0572000050,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1078.jpg,,,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Juwel-Messing-verchromt,,,Product Info Column,,144.20,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1078.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1078.jpg,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0572000100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        Isolierkanne    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1038.jpg,,,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Juwel-Messing-verchromt,,,Product Info Column,,154.50,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1038.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-juwel-messing-verchromt-01_1038.jpg,,,"Isolierkanne Juwel, Messing verchromt","Isolierkanne Juwel, Messing verchromt.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Alfi_0570217100,base,Alfi Drinkbottle,simple,[Chinese Category]/休闲旅游/保温壶,base,,,,ALFI,,,,,Germany,,,,,,"
        description    <img width='100%' src='https://img.alicdn.com/imgextra/i3/2663345110/TB2aqV_kXXXXXcBXpXXXXXXXXXX_!!2663345110.jpg'><img width='100%' src='https://img.alicdn.com/imgextra/i2/2663345110/TB2AmKMkXXXXXbwXXXXXXXXXXXX_!!2663345110.jpg'>",No,,,0,/alfi/Isolierkanne/isolierkanne-juwel-liquid-platinum-1-0l-alfi_0570217100-1.jpg,,,,,"Isolierkanne Juwel, liquid platinum 1,0l","Isolierkanne Juwel, liquid platinum 1,0l","Isolierkanne Juwel, liquid platinum 1,0l - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Isolierkanne-Juwel-liquid-platinum-1-0l,,,Product Info Column,,99.95,0,"百年来每一只ALFI的产品都是拥有市场上的高品质的保证,资深熟练的工程设计师针对每道工序反复检验,确保产品100%符合保准,加上独特的抽真空双层玻璃内胆设计,经过1400摄氏度煅烧而成,保温保冷效力可以长时间维持. 采用高品质的材料及无毒可回收的环保材料是ALFI对消费者及环境的承诺.",,,/alfi/Isolierkanne/isolierkanne-juwel-liquid-platinum-1-0l-alfi_0570217100-1.jpg,,,,,1,2,/alfi/Isolierkanne/isolierkanne-juwel-liquid-platinum-1-0l-alfi_0570217100-1.jpg,,,"Isolierkanne Juwel, liquid platinum 1,0l","Isolierkanne Juwel, liquid platinum 1,0l.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
