sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Avent_SCF172/22,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Verschiedene Designs 6-18 Monate  - NEUES DESIGN    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,,,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Verschiedene-Designs-6-18-Monate-NEUES-DESIGN,,,Product Info Column,,6.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,,,1,2,/avent/verschiedene-designs-6-18-monate-neues-design-avent_scf172__22--02.jpg,,,Verschiedene Designs 6-18 Monate  - NEUES DESIGN,Verschiedene Designs 6-18 Monate  - NEUES DESIGN.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCD610/00,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Premium Babyphone Video Monitor     <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,,,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Premium-Babyphone-Video-Monitor,,,Product Info Column,,199.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,,,1,2,/avent/premium-babyphone-video-monitor-01_3136.jpg,,,Premium Babyphone Video Monitor,Premium Babyphone Video Monitor.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF860/23,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Mini Standmixer    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/mini-standmixer-avent_scf860_23.jpg,,,,,Mini Standmixer,Mini Standmixer,Mini Standmixer - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Mini-Standmixer,,,Product Info Column,,49.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/mini-standmixer-avent_scf860_23.jpg,,,,,1,2,/avent/mini-standmixer-avent_scf860_23.jpg,,,Mini Standmixer,Mini Standmixer.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF255/57,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Babykostwärmer ohne Flaschen    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/babykostwarmer-ohne-flaschen-avent_scf255__57.jpg,,,,,Babykostwärmer ohne Flaschen,Babykostwärmer ohne Flaschen,Babykostwärmer ohne Flaschen - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Babykostwarmer-ohne-Flaschen,,,Product Info Column,,39.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/babykostwarmer-ohne-flaschen-avent_scf255__57.jpg,,,,,1,2,/avent/babykostwarmer-ohne-flaschen-avent_scf255__57.jpg,,,Babykostwrmer ohne Flaschen,Babykostwrmer ohne Flaschen.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF257/00,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Brustpflege Starter-Set    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/brustpflege-starter-set-avent_scf257__00.jpg,,,,,Brustpflege Starter-Set,Brustpflege Starter-Set,Brustpflege Starter-Set - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Brustpflege-Starter-Set,,,Product Info Column,,31.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/brustpflege-starter-set-avent_scf257__00.jpg,,,,,1,2,/avent/brustpflege-starter-set-avent_scf257__00.jpg,,,Brustpflege Starter-Set,Brustpflege Starter-Set.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF720/10,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        VIA Aufbewahrungssystem für Babynahrung     <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,,,VIA Aufbewahrungssystem für Babynahrung ,VIA Aufbewahrungssystem für Babynahrung ,VIA Aufbewahrungssystem für Babynahrung  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,VIA-Aufbewahrungssystem-fur-Babynahrung-,,,Product Info Column,,27.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,,,1,2,/avent/via-aufbewahrungssystem-fur-babynahrung--avent_scf720__10.jpg,,,VIA Aufbewahrungssystem fr Babynahrung ,VIA Aufbewahrungssystem fr Babynahrung .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCD150/60,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        ThermaBag - Schwarz    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,,,ThermaBag - Schwarz,ThermaBag - Schwarz,ThermaBag - Schwarz - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,ThermaBag-Schwarz,,,Product Info Column,,19.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,,,1,2,/avent/thermabag-schwarz-avent_scd150__60.jpg,,,ThermaBag - Schwarz,ThermaBag - Schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF690/27,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        125 ml Flasche - Doppelpackung     <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/125-ml-flasche-doppelpackung--avent_scf690__27-1.jpg,,,,,125 ml Flasche - Doppelpackung ,125 ml Flasche - Doppelpackung ,125 ml Flasche - Doppelpackung  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,125-ml-Flasche-Doppelpackung-,,,Product Info Column,,13.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/125-ml-flasche-doppelpackung--avent_scf690__27-1.jpg,,,,,1,2,/avent/125-ml-flasche-doppelpackung--avent_scf690__27-1.jpg,,,125 ml Flasche - Doppelpackung ,125 ml Flasche - Doppelpackung .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF693/17,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        260 ml Flasche     <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/260-ml-flasche--01_3135.jpg,,,,,260 ml Flasche ,260 ml Flasche ,260 ml Flasche  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,260-ml-Flasche-,,,Product Info Column,,8.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/260-ml-flasche--01_3135.jpg,,,,,1,2,/avent/260-ml-flasche--01_3135.jpg,,,260 ml Flasche ,260 ml Flasche .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Avent_SCF156/01,base,Baby,simple,[Chinese Category]/母婴/AVENT,base,,,,AVENT,,,,,Germany,,,,,,"
        Brusthütchen - Standard    <img width='100%' src='/media/wysiwyg/avent/avent_banner.jpg'>",No,,,0,/avent/brusthutchen-standard-avent_scf156__01.jpg,,,,,Brusthütchen - Standard,Brusthütchen - Standard,Brusthütchen - Standard - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Brusthutchen-Standard,,,Product Info Column,,7.99,0,新安怡（AVENT），来自英国的著名品牌，于1984年在英国诞生，经过30年的不断创新，已成长为母婴用品世界的第一品牌。拥有60%的英国本土市场份额，更成为全世界70多个国家母婴界的信赖品牌，产品出口超过60个国家，现已成为全世界最著名的母婴护理品牌，在欧美各国更是备受推崇。2006年被飞利浦收购，并入飞利浦家庭小电器部。,,,/avent/brusthutchen-standard-avent_scf156__01.jpg,,,,,1,2,/avent/brusthutchen-standard-avent_scf156__01.jpg,,,Brusthtchen - Standard,Brusthtchen - Standard.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
