sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
NUK_10176092,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-bs-si-de-it-gr2-genius-color-2-box-nuk_10176092.jpg,,,,,NUK BS SI DE/IT GR2 GENIUS COLOR 2/BOX,NUK BS SI DE/IT GR2 GENIUS COLOR 2/BOX,NUK BS SI DE/IT GR2 GENIUS COLOR 2/BOX - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-BS-SI-DE-IT-GR2-GENIUS-COLOR-2-BOX,,,Product Info Column,,7.29,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-bs-si-de-it-gr2-genius-color-2-box-nuk_10176092.jpg,,,,,1,2,/nuk/nuk-bs-si-de-it-gr2-genius-color-2-box-nuk_10176092.jpg,,,NUK BS SI DE/IT GR2 GENIUS COLOR 2/BOX,NUK BS SI DE/IT GR2 GENIUS COLOR 2/BOX.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10251010,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        NUK VAPO 2IN1    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,,,NUK VAPO 2IN1,NUK VAPO 2IN1,NUK VAPO 2IN1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-VAPO-2IN1,,,Product Info Column,,65.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,,,1,2,/nuk/nuk-vapo-2in1-nuk_10251010.jpg,,,NUK VAPO 2IN1,NUK VAPO 2IN1.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10252090,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-handmilchpumpe-jolie-cl-1-nuk_10252090.jpg,,,,,NUK HANDMILCHPUMPE JOLIE CL 1,NUK HANDMILCHPUMPE JOLIE CL 1,NUK HANDMILCHPUMPE JOLIE CL 1 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-HANDMILCHPUMPE-JOLIE-CL-1,,,Product Info Column,,39.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-handmilchpumpe-jolie-cl-1-nuk_10252090.jpg,,,,,1,2,/nuk/nuk-handmilchpumpe-jolie-cl-1-nuk_10252090.jpg,,,NUK HANDMILCHPUMPE JOLIE CL 1,NUK HANDMILCHPUMPE JOLIE CL 1.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10225101,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-fc-perfect-start-plus-set-2013-nuk_10225101-1.jpg,,,,,NUK FC+Perfect Start plus set 2013,NUK FC+Perfect Start plus set 2013,NUK FC+Perfect Start plus set 2013 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-FC-Perfect-Start-plus-set-2013,,,Product Info Column,,29.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-fc-perfect-start-plus-set-2013-nuk_10225101-1.jpg,,,,,1,2,/nuk/nuk-fc-perfect-start-plus-set-2013-nuk_10225101-1.jpg,,,NUK FC+Perfect Start plus set 2013,NUK FC+Perfect Start plus set 2013.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10225103,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/disney-mickey-starter-set-nuk_10225103.jpg,,,,,Disney Mickey Starter Set,Disney Mickey Starter Set,Disney Mickey Starter Set - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Disney-Mickey-Starter-Set,,,Product Info Column,,24.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/disney-mickey-starter-set-nuk_10225103.jpg,,,,,1,2,/nuk/disney-mickey-starter-set-nuk_10225103.jpg,,,Disney Mickey Starter Set,Disney Mickey Starter Set.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10225099,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        NUK Starterset Glas    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-starterset-glas-nuk_10225099--02.jpg,,,,,NUK Starterset Glas,NUK Starterset Glas,NUK Starterset Glas - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-Starterset-Glas,,,Product Info Column,,22.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-starterset-glas-nuk_10225099--02.jpg,,,,,1,2,/nuk/nuk-starterset-glas-nuk_10225099--02.jpg,,,NUK Starterset Glas,NUK Starterset Glas.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255094,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        Disney Easy Learning Esslern-Teller    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/disney-easy-learning-esslern-teller-nuk_10255094.jpg,,,,,Disney Easy Learning Esslern-Teller,Disney Easy Learning Esslern-Teller,Disney Easy Learning Esslern-Teller - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Disney-Easy-Learning-Esslern-Teller,,,Product Info Column,,12.50,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/disney-easy-learning-esslern-teller-nuk_10255094.jpg,,,,,1,2,/nuk/disney-easy-learning-esslern-teller-nuk_10255094.jpg,,,Disney Easy Learning Esslern-Teller,Disney Easy Learning Esslern-Teller.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255093,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        Disney Easy Learning Esslern-Schale    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/disney-easy-learning-esslern-schale-nuk_10255093.jpg,,,,,Disney Easy Learning Esslern-Schale,Disney Easy Learning Esslern-Schale,Disney Easy Learning Esslern-Schale - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Disney-Easy-Learning-Esslern-Schale,,,Product Info Column,,12.50,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/disney-easy-learning-esslern-schale-nuk_10255093.jpg,,,,,1,2,/nuk/disney-easy-learning-esslern-schale-nuk_10255093.jpg,,,Disney Easy Learning Esslern-Schale,Disney Easy Learning Esslern-Schale.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255089,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        NUK Easy Learning 1-2-3 Ultimate Cup 2in1     <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/nuk-easy-learning-1-2-3-ultimate-cup-2in1--nuk_10255089.jpg,,,,,NUK Easy Learning 1-2-3 Ultimate Cup 2in1 ,NUK Easy Learning 1-2-3 Ultimate Cup 2in1 ,NUK Easy Learning 1-2-3 Ultimate Cup 2in1  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,NUK-Easy-Learning-1-2-3-Ultimate-Cup-2in1-,,,Product Info Column,,10.06,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/nuk-easy-learning-1-2-3-ultimate-cup-2in1--nuk_10255089.jpg,,,,,1,2,/nuk/nuk-easy-learning-1-2-3-ultimate-cup-2in1--nuk_10255089.jpg,,,NUK Easy Learning 1-2-3 Ultimate Cup 2in1 ,NUK Easy Learning 1-2-3 Ultimate Cup 2in1 .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
NUK_10255260,base,Baby,simple,[Chinese Category]/母婴/NUK,base,,,,NUK,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/nuk/Nuk_Bottle.jpg'>",No,,,0,/nuk/easy-learning-sesamstrasse-cup-3-250ml-mit-becherrand-nuk_10255260--1.jpg,,,,,Easy Learning Sesamstraße Cup 3 250ml mit Becherrand,Easy Learning Sesamstraße Cup 3 250ml mit Becherrand,Easy Learning Sesamstraße Cup 3 250ml mit Becherrand - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Easy-Learning-Sesamstrasse-Cup-3-250ml-mit-Becherrand,,,Product Info Column,,9.99,0,NUK是德国MAPA公司生产的世界高质量的婴儿用品的著名商标，在世界婴儿用品市场上享有很高的声誉。,,,/nuk/easy-learning-sesamstrasse-cup-3-250ml-mit-becherrand-nuk_10255260--1.jpg,,,,,1,2,/nuk/easy-learning-sesamstrasse-cup-3-250ml-mit-becherrand-nuk_10255260--1.jpg,,,Easy Learning Sesamstrae Cup 3 250ml mit Becherrand,Easy Learning Sesamstrae Cup 3 250ml mit Becherrand.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
