sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Victorinox_6.7833,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/tomatenmesser-swissclassic-rund-well-schwarz-01_590.jpg,,,,,"Tomatenmesser SwissClassic, rund, Well., schwarz","Tomatenmesser SwissClassic, rund, Well., schwarz","Tomatenmesser SwissClassic, rund, Well., schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Tomatenmesser-SwissClassic-rund-Well-schwarz,,,Product Info Column,,4.30,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/tomatenmesser-swissclassic-rund-well-schwarz-01_590.jpg,,,,,1,2,/victorinox/sonstige/tomatenmesser-swissclassic-rund-well-schwarz-01_590.jpg,,,"Tomatenmesser SwissClassic, rund, Well., schwarz","Tomatenmesser SwissClassic, rund, Well., schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_7.6072,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,,,Sparschäler J-STAR,Sparschäler J-STAR,Sparschäler J-STAR - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Sparschaler-J-STAR,,,Product Info Column,,4.70,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,,,1,2,/victorinox/sonstige/sparschaler-j-star-victorinox_7.jpg,,,Sparschler J-STAR,Sparschler J-STAR.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.8526.17L5B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,,,"Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-pink-17cm-Blister,,,Product Info Column,,39.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-pink-17cm-blister-01_1554.jpg,,,"Santokumesser Kullen,pink 17cm,Blister","Santokumesser Kullen,pink 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.8526.17L9B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,,,"Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-orange-17cm-Blister,,,Product Info Column,,39.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-orange-17cm-blister-01_1556.jpg,,,"Santokumesser Kullen,orange 17cm,Blister","Santokumesser Kullen,orange 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.8526.17L4B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,,,"Santokumesser Kullen,grün 17cm,Blister","Santokumesser Kullen,grün 17cm,Blister","Santokumesser Kullen,grün 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-grun-17cm-Blister,,,Product Info Column,,39.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-grun-17cm-blister-01_1553.jpg,,,"Santokumesser Kullen,grn 17cm,Blister","Santokumesser Kullen,grn 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.8526.17L8B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,,,"Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Santokumesser-Kullen-gelb-17cm-Blister,,,Product Info Column,,39.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-kullen-gelb-17cm-blister-01_1555.jpg,,,"Santokumesser Kullen,gelb 17cm,Blister","Santokumesser Kullen,gelb 17cm,Blister.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_7.2503.17G,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,,,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Santokumesser-CeramicLine-Fibrox-Geschenkschachtel-17cm,,,Product Info Column,,82.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,,,1,2,/victorinox/sonstige/santokumesser-ceramicline-fibrox-geschenkschachtel-17cm-01_525.jpg,,,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm,Santokumesser CeramicLine Fibrox Geschenkschachtel 17cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.7936.12L5B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2tlg--victorinox_6.jpg,,,,,"Pizzamesser,pink mit Wellen, 2tlg.","Pizzamesser,pink mit Wellen, 2tlg.","Pizzamesser,pink mit Wellen, 2tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-pink-mit-Wellen-2tlg-,,,Product Info Column,,13.20,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2tlg--victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-pink-mit-wellen-2tlg--victorinox_6.jpg,,,"Pizzamesser,pink mit Wellen, 2tlg.","Pizzamesser,pink mit Wellen, 2tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.7936.12L9B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2tlg--victorinox_6.jpg,,,,,"Pizzamesser,orange mit Wellen, 2tlg.","Pizzamesser,orange mit Wellen, 2tlg.","Pizzamesser,orange mit Wellen, 2tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-orange-mit-Wellen-2tlg-,,,Product Info Column,,13.20,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2tlg--victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-orange-mit-wellen-2tlg--victorinox_6.jpg,,,"Pizzamesser,orange mit Wellen, 2tlg.","Pizzamesser,orange mit Wellen, 2tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.7936.12L4B,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,Victorinox,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2tlg--victorinox_6.jpg,,,,,"Pizzamesser,grün mit Wellen, 2tlg.","Pizzamesser,grün mit Wellen, 2tlg.","Pizzamesser,grün mit Wellen, 2tlg. - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Pizzamesser-grun-mit-Wellen-2tlg-,,,Product Info Column,,13.20,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2tlg--victorinox_6.jpg,,,,,1,2,/victorinox/sonstige/pizzamesser-grun-mit-wellen-2tlg--victorinox_6.jpg,,,"Pizzamesser,grn mit Wellen, 2tlg.","Pizzamesser,grn mit Wellen, 2tlg..html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
