sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Victorinox_1.3703.T7,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,,,Climber SilverTech transparent silber,Climber SilverTech transparent silber,Climber SilverTech transparent silber - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Climber-SilverTech-transparent-silber,,,Product Info Column,,36.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,,,1,2,/victorinox/taschenmesser/climber-silvertech-transparent-silber-victorinox_1.jpg,,,Climber SilverTech transparent silber,Climber SilverTech transparent silber.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6163,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,,,"Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kl-Taschenwerkzeug-Rally-rot,,,Product Info Column,,11.10,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rally-rot-victorinox_0.jpg,,,"Kl.Taschenwerkzeug,Rally,rot","Kl.Taschenwerkzeug,Rally,rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6366.T2,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,,,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transparent-LED-weiss,,,Product Info Column,,41.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transparent-led-weiss-01_591.jpg,,,Kl.Taschenwerkzeug Saphir transparent LED weiss,Kl.Taschenwerkzeug Saphir transparent LED weiss.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6226.T2,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,,,"Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transp-LED-weiss,,,Product Info Column,,31.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp-led-weiss-01_580.jpg,,,"Kl.Taschenwerkzeug Saphir transp.,LED weiss","Kl.Taschenwerkzeug Saphir transp.,LED weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6365.T2,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Saphir-transp-,,,Product Info Column,,28.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-saphir-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Saphir transp.,Kl.Taschenwerkzeug Saphir transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6365.T,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,28.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6226.T,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,31.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6366.T,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp. - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Rubin-transp-,,,Product Info Column,,41.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-rubin-transp--victorinox_0.jpg,,,Kl.Taschenwerkzeug Rubin transp.,Kl.Taschenwerkzeug Rubin transp..html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6123,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Escort-rot,,,Product Info Column,,9.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-escort-rot-victorinox_0.jpg,,,Kl.Taschenwerkzeug Escort rot,Kl.Taschenwerkzeug Escort rot.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_0.6203,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀/,base,,,,Victorinox,,,,,Germany,,,,,,"
        <img width='100%' src='/media/wysiwyg/victorinox/victorinox-damascus.jpg'>",No,,,0,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,,,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kl-Taschenwerkzeug-Classic-rot,,,Product Info Column,,15.30,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,,,1,2,/victorinox/taschenmesser/kl-taschenwerkzeug-classic-rot-victorinox_0.jpg,,,Kl.Taschenwerkzeug Classic rot,Kl.Taschenwerkzeug Classic rot.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
