sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_1291466040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,,,Eierlöffel NUOVA SET 6	,Eierlöffel NUOVA SET 6	,Eierlöffel NUOVA SET 6	 - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Eierloffel-NUOVA-SET-6-,,,Product Info Column,,12.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,,,1,2,/wmf/besteck/eierloffel-nuova-set-6--wmf_1291466040.jpg,,,Eierlffel NUOVA SET 6	,Eierlffel NUOVA SET 6	.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1281906270,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,,,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinder-Set-2-teilig-Willy-Mia-Fred,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,,,1,2,/wmf/besteck/kinder-set-2-teilig-willy-mia-fred-wmf_1281906270--1.jpg,,,Kinder-Set 2-teilig Willy Mia Fred,Kinder-Set 2-teilig Willy Mia Fred.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1280376040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,,,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinderbesteck-4tlg-Lustige-Reise,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,,,1,2,/wmf/besteck/kinderbesteck-4tlg-lustige-reise-wmf_1280376040.jpg,,,Kinderbesteck 4tlg. Lustige Reise,Kinderbesteck 4tlg. Lustige Reise.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1274916340,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,,,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect  - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,wmf-Besteck-St-30-teilig-Jette-Cromargan-Protect-,,,Product Info Column,,349.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,,,1,2,/wmf/besteck/wmf-besteck-st-30-teilig-jette-cromargan-protect--wmf_1274916340.jpg,,,wmf Besteck-St 30-teilig Jette Cromargan Protect ,wmf Besteck-St 30-teilig Jette Cromargan Protect .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1272916040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/set-30-palma-01_1980.jpg,,,,,Set 30 PALMA,Set 30 PALMA,Set 30 PALMA - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Set-30-PALMA,,,Product Info Column,,129.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/set-30-palma-01_1980.jpg,,,,,1,2,/wmf/besteck/set-30-palma-01_1980.jpg,,,Set 30 PALMA,Set 30 PALMA.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1272036049,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,,,Menuemesser mono PALMA,Menuemesser mono PALMA,Menuemesser mono PALMA - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menuemesser-mono-PALMA,,,Product Info Column,,5.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,,,1,2,/wmf/besteck/menuemesser-mono-palma-wmf_1272036049.jpg,,,Menuemesser mono PALMA,Menuemesser mono PALMA.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1272016040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,,,Menuelöffel Palma,Menuelöffel Palma,Menuelöffel Palma - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menueloffel-Palma,,,Product Info Column,,4.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,,,1,2,/wmf/besteck/menueloffel-palma-01_1968.jpg,,,Menuelffel Palma,Menuelffel Palma.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1285056040,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,,,"Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Kinderbesteck-4tlg-""The-Peppels""-neu",,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,,,1,2,"/wmf/besteck/kinderbesteck-4tlg-""the-peppels""-neu-wmf_1285056040-1.jpg",,,"Kinderbesteck 4tlg. ""The Peppels"" neu","Kinderbesteck 4tlg. ""The Peppels"" neu.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1158016330,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,,,Menülöffel Corvo Crom. PRO,Menülöffel Corvo Crom. PRO,Menülöffel Corvo Crom. PRO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menuloffel-Corvo-Crom-PRO,,,Product Info Column,,8.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,,,1,2,/wmf/besteck/menuloffel-corvo-crom-pro-wmf_1158016330.jpg,,,Menlffel Corvo Crom. PRO,Menlffel Corvo Crom. PRO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0616687400,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bestecke    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/eierbecher-mc-egg-pink-wmf_0616687400--1.jpg,,,,,Eierbecher Mc Egg pink,Eierbecher Mc Egg pink,Eierbecher Mc Egg pink - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Eierbecher-Mc-Egg-pink,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/eierbecher-mc-egg-pink-wmf_0616687400--1.jpg,,,,,1,2,/wmf/besteck/eierbecher-mc-egg-pink-wmf_0616687400--1.jpg,,,Eierbecher Mc Egg pink,Eierbecher Mc Egg pink.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1228566340,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,,,12tlg. Dessert-/Frühstücksb. AMBIENTE CP,12tlg. Dessert-/Frühstücksb. AMBIENTE CP,12tlg. Dessert-/Frühstücksb. AMBIENTE CP - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,12tlg-Dessert-Fruhstucksb-AMBIENTE-CP,,,Product Info Column,,129.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,,,1,2,/wmf/besteck/12tlg-dessert-fruhstucksb-ambiente-cp-wmf_1228566340.jpg,,,12tlg. Dessert-/Frhstcksb. AMBIENTE CP,12tlg. Dessert-/Frhstcksb. AMBIENTE CP.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1140566340,base,Kitchen,simple,[Chinese Category]/厨房用具/餐具器皿,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,,,12tlg. Dessert-/Frühstücksbesteck MERIT,12tlg. Dessert-/Frühstücksbesteck MERIT,12tlg. Dessert-/Frühstücksbesteck MERIT - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,12tlg-Dessert-Fruhstucksbesteck-MERIT,,,Product Info Column,,199.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,,,1,2,/wmf/besteck/12tlg-dessert-fruhstucksbesteck-merit-wmf_1140566340.jpg,,,12tlg. Dessert-/Frhstcksbesteck MERIT,12tlg. Dessert-/Frhstcksbesteck MERIT.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1291746046,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,,,Kaffeebecherlöffel Set 6 Stück Nuova,Kaffeebecherlöffel Set 6 Stück Nuova,Kaffeebecherlöffel Set 6 Stück Nuova - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kaffeebecherloffel-Set-6-Stuck-Nuova,,,Product Info Column,,12.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,,,1,2,/wmf/besteck/kaffeebecherloffel-set-6-stuck-nuova-wmf_1291746046.jpg,,,Kaffeebecherlffel Set 6 Stck Nuova,Kaffeebecherlffel Set 6 Stck Nuova.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1282959974,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,,,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kinderset-7-teilig-Micky-Mouse,,,Product Info Column,,49.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,,,1,2,/wmf/besteck/kinderset-7-teilig-micky-mouse-wmf_1282959974.jpg,,,Kinderset 7-teilig Micky Mouse,Kinderset 7-teilig Micky Mouse.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1297776040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wein-besteck.jpg'>",No,,,0,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,,,Honig-/Marmeladelöffel WINGS,Honig-/Marmeladelöffel WINGS,Honig-/Marmeladelöffel WINGS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Honig-Marmeladeloffel-WINGS,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,,,1,2,/wmf/besteck/honig-marmeladeloffel-wings-wmf_1297776040.jpg,,,Honig-/Marmeladelffel WINGS,Honig-/Marmeladelffel WINGS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
