sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0686236040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kaffee & Tee    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,,,Café Crème Tasse mit Löffel,Café Crème Tasse mit Löffel,Café Crème Tasse mit Löffel - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Café-Crème-Tasse-mit-Loffel,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,,,1,2,/wmf/kaffe/café-crème-tasse-mit-loffel-wmf_0686236040--1.jpg,,,Caf Crme Tasse mit Lffel,Caf Crme Tasse mit Lffel.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1222016040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Menuelöffel Sydney    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/menueloffel-sydney-wmf_1222016040.jpg,,,,,Menuelöffel Sydney,Menuelöffel Sydney,Menuelöffel Sydney - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Menueloffel-Sydney,,,Product Info Column,,5.45,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/menueloffel-sydney-wmf_1222016040.jpg,,,,,1,2,/wmf/kaffe/menueloffel-sydney-wmf_1222016040.jpg,,,Menuelffel Sydney,Menuelffel Sydney.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0642676040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kaffee & Tee    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/tee-gewurzsieb-gourmet-5-0cm-wmf_0642676040-1.jpg,,,,,"Tee-/Gewürzsieb GOURMET 5,0cm","Tee-/Gewürzsieb GOURMET 5,0cm","Tee-/Gewürzsieb GOURMET 5,0cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Tee-Gewurzsieb-GOURMET-5-0cm,,,Product Info Column,,7.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/tee-gewurzsieb-gourmet-5-0cm-wmf_0642676040-1.jpg,,,,,1,2,/wmf/kaffe/tee-gewurzsieb-gourmet-5-0cm-wmf_0642676040-1.jpg,,,"Tee-/Gewrzsieb GOURMET 5,0cm","Tee-/Gewrzsieb GOURMET 5,0cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0642686040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kaffee & Tee    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/tee-gewurzsieb-gourmet-6-5cm-wmf_0642686040.jpg,,,,,"Tee-/Gewürzsieb GOURMET 6,5cm","Tee-/Gewürzsieb GOURMET 6,5cm","Tee-/Gewürzsieb GOURMET 6,5cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Tee-Gewurzsieb-GOURMET-6-5cm,,,Product Info Column,,8.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/tee-gewurzsieb-gourmet-6-5cm-wmf_0642686040.jpg,,,,,1,2,/wmf/kaffe/tee-gewurzsieb-gourmet-6-5cm-wmf_0642686040.jpg,,,"Tee-/Gewrzsieb GOURMET 6,5cm","Tee-/Gewrzsieb GOURMET 6,5cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686396040,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Cappuccino Schablone Set ""Big bear"" Barista    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,,,"Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Big-bear""-Barista",,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""big-bear""-barista-wmf_0686396040--1.jpg",,,"Cappuccino Schablone Set ""Big bear"" Barista","Cappuccino Schablone Set ""Big bear"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1284466040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kakaostreuer ""McChoc""    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,"/wmf/kaffe/kakaostreuer-""mcchoc""-01_1984.jpg",,,,,"Kakaostreuer ""McChoc""","Kakaostreuer ""McChoc""","Kakaostreuer ""McChoc"" - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Kakaostreuer-""McChoc""",,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,"/wmf/kaffe/kakaostreuer-""mcchoc""-01_1984.jpg",,,,,1,2,"/wmf/kaffe/kakaostreuer-""mcchoc""-01_1984.jpg",,,"Kakaostreuer ""McChoc""","Kakaostreuer ""McChoc"".html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0943099990,base,Kitchen,simple,[Chinese Category]/厨房用具/杯壺烘焙,base,,,,WMF,,,,,Germany,,,,,,"
        Kaffee & Tee    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/tee-punschtasse-clever-&-smart-wmf_0943099990.jpg,,,,,Tee/Punschtasse Clever & Smart,Tee/Punschtasse Clever & Smart,Tee/Punschtasse Clever & Smart - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Tee-Punschtasse-Clever-&-Smart,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/tee-punschtasse-clever-&-smart-wmf_0943099990.jpg,,,,,1,2,/wmf/kaffe/tee-punschtasse-clever-&-smart-wmf_0943099990.jpg,,,Tee/Punschtasse Clever & Smart,Tee/Punschtasse Clever & Smart.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0635726040,base,Kitchen,simple,[Chinese Category]/厨房用具/杯壺烘焙,base,,,,WMF,,,,,Germany,,,,,,"
        Kaffee & Tee    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,/wmf/kaffe/tee-ei-libertea-klein-mit-sieb-wmf_0635726040.jpg,,,,,Tee-Ei LiberTea klein mit Sieb,Tee-Ei LiberTea klein mit Sieb,Tee-Ei LiberTea klein mit Sieb - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Tee-Ei-LiberTea-klein-mit-Sieb,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kaffe/tee-ei-libertea-klein-mit-sieb-wmf_0635726040.jpg,,,,,1,2,/wmf/kaffe/tee-ei-libertea-klein-mit-sieb-wmf_0635726040.jpg,,,Tee-Ei LiberTea klein mit Sieb,Tee-Ei LiberTea klein mit Sieb.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686376040,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Cappuccino Schablone Set ""Monkeyside"" Barista    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,,,"Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Monkeyside""-Barista",,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""monkeyside""-barista-01_2004.jpg",,,"Cappuccino Schablone Set ""Monkeyside"" Barista","Cappuccino Schablone Set ""Monkeyside"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0686406040,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Cappuccino Schablone Set ""Sweetheart"" Barista    <img width='100%' src='/media/wysiwyg/wmf/wmf-coffee.jpg'>",No,,,0,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,,,"Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,"Cappuccino-Schablone-Set-""Sweetheart""-Barista",,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,,,1,2,"/wmf/kaffe/cappuccino-schablone-set-""sweetheart""-barista-01_2048.jpg",,,"Cappuccino Schablone Set ""Sweetheart"" Barista","Cappuccino Schablone Set ""Sweetheart"" Barista.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
