sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0644406040,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/reibe-01_2101.jpg,,,,,Reibe,Reibe,Reibe - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Reibe,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/reibe-01_2101.jpg,,,,,1,2,/wmf/kitchen-help/reibe-01_2101.jpg,,,Reibe,Reibe.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1870039990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,,,, Gemüsemesser 8 cm, Gemüsemesser 8 cm, Gemüsemesser 8 cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,-Gemusemesser-8-cm,,,Product Info Column,,4.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,,,,1,2,/wmf/kitchen-help/-gemusemesser-8-cm-wmf_1870039990_01.jpg,,, Gemsemesser 8 cm, Gemsemesser 8 cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1874426030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,,,Minirührblitz PROFI PLUS 21cm,Minirührblitz PROFI PLUS 21cm,Minirührblitz PROFI PLUS 21cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Miniruhrblitz-PROFI-PLUS-21cm,,,Product Info Column,,14.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,,,1,2,/wmf/kitchen-help/miniruhrblitz-profi-plus-21cm-01_1853.jpg,,,Minirhrblitz PROFI PLUS 21cm,Minirhrblitz PROFI PLUS 21cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1872916030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Knoblauchpresse-PROFI-PLUS,,,Product Info Column,,39.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,,,1,2,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1864.jpg,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1871636030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Knoblauchpresse-PROFI-PLUS,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,,,1,2,/wmf/kitchen-help/knoblauchpresse-profi-plus-01_1877.jpg,,,Knoblauchpresse PROFI PLUS,Knoblauchpresse PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1871066030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,,,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Fleischgabel-PROFI-PLUS,,,Product Info Column,,19.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,,,1,2,/wmf/kitchen-help/fleischgabel-profi-plus-01_1856.jpg,,,Fleischgabel PROFI PLUS,Fleischgabel PROFI PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0799766040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        WMF Kurzzeitmesser Premium One    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,,,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,WMF-Kurzzeitmesser-Premium-One,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,,,1,2,/wmf/kitchen-help/wmf-kurzzeitmesser-premium-one-01_2041.jpg,,,WMF Kurzzeitmesser Premium One,WMF Kurzzeitmesser Premium One.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0799756040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,,,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kurzzeitmesser-PERFECT-PLUS,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,,,1,2,/wmf/kitchen-help/kurzzeitmesser-perfect-plus-wmf_0799756040.jpg,,,Kurzzeitmesser PERFECT PLUS,Kurzzeitmesser PERFECT PLUS.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0682256030,base,Kitchen,simple,[Chinese Category]/厨房用具/德国刀具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,,,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zitronenpresse-CLEVER-&-MORE,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,,,1,2,/wmf/kitchen-help/zitronenpresse-clever-&-more-01_2030.jpg,,,Zitronenpresse CLEVER & MORE,Zitronenpresse CLEVER & MORE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0654996020,base,Kitchen,simple,[Chinese Category]/厨房用具/杯壺烘焙,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wmf-kitchen-helper.jpg'>",No,,,0,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,,,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schale-TOP-SERVE-13cm-H-10CM-M-EINLAG,,,Product Info Column,,34.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,,,1,2,/wmf/kitchen-help/schale-top-serve-13cm-h-10cm-m-einlag-wmf_0654996020--3.jpg,,,Schale TOP SERVE 13cm H 10CM M. EINLAG,Schale TOP SERVE 13cm H 10CM M. EINLAG.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
