sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0793146040,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,,,"Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Set-PERFECT-PLUS-8-5Lm-Einsatz,,,Product Info Column,,219.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-plus-8-5lm-einsatz-01_2084.jpg,,,"Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz","Schnelltopf Set PERFECT PLUS 8,5Lm.Einsatz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0796279990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,,,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-PERFECT-PRO,,,Product Info Column,,199.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-pro-wmf_0796279990.jpg,,,Schnelltopf Set PERFECT PRO,Schnelltopf Set PERFECT PRO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0796129990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,,,"Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-Ultra-4-5L-22cm,,,Product Info Column,,219.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-ultra-4-5l-22cm-01_2102.jpg,,,"Schnelltopf Perfect Ultra 4,5L 22cm","Schnelltopf Perfect Ultra 4,5L 22cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793939990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,,,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-PERFECT-PLUS-2tlg-STAPEL,,,Product Info Column,,209.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-plus-2tlg-stapel-wmf_0793939990.jpg,,,Schnelltopf Set PERFECT PLUS 2tlg STAPEL,Schnelltopf Set PERFECT PLUS 2tlg STAPEL.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793129990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,,,"Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-PERFECT-PLUS-4-5L-22cm,,,Product Info Column,,169.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-plus-4-5l-22cm-wmf_0793129990.jpg,,,"Schnelltopf PERFECT PLUS 4,5L 22cm","Schnelltopf PERFECT PLUS 4,5L 22cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0793099990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,,,"Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-Plus-2-5L-18cm,,,Product Info Column,,149.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-plus-2-5l-18cm-01_2050.jpg,,,"Schnelltopf Perfect Plus 2,5L 18cm","Schnelltopf Perfect Plus 2,5L 18cm.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792796100,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,,,Einsatzsteg 18cm,Einsatzsteg 18cm,Einsatzsteg 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Einsatzsteg-18cm,,,Product Info Column,,4.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,,,1,2,/wmf/sekt/einsatzsteg-18cm-01_2001.jpg,,,Einsatzsteg 18cm,Einsatzsteg 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792776000,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,,,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Einsatz-ungelocht-18cm,,,Product Info Column,,13.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,,,1,2,/wmf/sekt/einsatz-ungelocht-18cm-01_2062.jpg,,,Einsatz ungelocht 18cm,Einsatz ungelocht 18cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792659990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,,,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Schnelltopf-Set-Perfect-RDS-2tlg-22cm,,,Product Info Column,,199.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,,,1,2,/wmf/sekt/schnelltopf-set-perfect-rds-2tlg-22cm-wmf_0792659990.jpg,,,Schnelltopf Set Perfect RDS 2tlg. 22cm,Schnelltopf Set Perfect RDS 2tlg. 22cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0792629990,base,Kitchen,simple,[Chinese Category]/厨房用具/德国锅具,base,,,,WMF,,,,,Germany,,,,,,"
        Kochen    <img width='100%' src='/media/wysiwyg/wmf/wmf-schnelltopf.jpg'>",No,,,0,/wmf/sekt/schnelltopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,,,"Schnelltopf Perfect RDS 4,5L 22cm M.DICH","Schnelltopf Perfect RDS 4,5L 22cm M.DICH","Schnelltopf Perfect RDS 4,5L 22cm M.DICH - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Schnelltopf-Perfect-RDS-4-5L-22cm-M-DICH,,,Product Info Column,,149.00,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/sekt/schnelltopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,,,1,2,/wmf/sekt/schnelltopf-perfect-rds-4-5l-22cm-m-dich-01_2064.jpg,,,"Schnelltopf Perfect RDS 4,5L 22cm M.DICH","Schnelltopf Perfect RDS 4,5L 22cm M.DICH.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
