sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
WMF_0641017920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschluss-VINO,,,Product Info Column,,17.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschluss-vino-wmf_0641017920.jpg,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_1289656046,base,Kitchen,simple,[Chinese Category]/厨房用具/咖啡器皿,base,,,,WMF,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,,,Latte Macchiato-/Longdrinklöffel Set 6 TYPE,Latte Macchiato-/Longdrinklöffel Set 6 TYPE,Latte Macchiato-/Longdrinklöffel Set 6 TYPE - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Latte-Macchiato-Longdrinkloffel-Set-6-TYPE,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,,,1,2,/wmf/bar-wein/latte-macchiato-longdrinkloffel-set-6-type-wmf_1289656046.jpg,,,Latte Macchiato-/Longdrinklffel Set 6 TYPE,Latte Macchiato-/Longdrinklffel Set 6 TYPE.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0641026030,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,,,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschlus-clever-More-mat,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschlus-clever-more-mat-wmf_0641026030.jpg,,,Weinflaschenverschlus clever  More mat,Weinflaschenverschlus clever  More mat.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640727920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinflaschenverschluss-VINO,,,Product Info Column,,9.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,,,1,2,/wmf/bar-wein/weinflaschenverschluss-vino-01_2021.jpg,,,Weinflaschenverschluss VINO,Weinflaschenverschluss VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640717920,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,,,Weinpumpe mit 2 Verschlüssen VINO,Weinpumpe mit 2 Verschlüssen VINO,Weinpumpe mit 2 Verschlüssen VINO - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Weinpumpe-mit-2-Verschlussen-VINO,,,Product Info Column,,29.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,,,1,2,/wmf/bar-wein/weinpumpe-mit-2-verschlussen-vino-wmf_0640717920.jpg,,,Weinpumpe mit 2 Verschlssen VINO,Weinpumpe mit 2 Verschlssen VINO.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0640656030,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,,,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kapselheber-loft-Bar-14cm,,,Product Info Column,,12.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,,,1,2,/wmf/bar-wein/kapselheber-loft-bar-14cm-01_2022.jpg,,,Kapselheber loft Bar 14cm,Kapselheber loft Bar 14cm.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0617926040,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Wohnen    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,,,Ice-Crusher loft Bar,Ice-Crusher loft Bar,Ice-Crusher loft Bar - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Ice-Crusher-loft-Bar,,,Product Info Column,,79.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,,,1,2,/wmf/bar-wein/ice-crusher-loft-bar-wmf_0617926040.jpg,,,Ice-Crusher loft Bar,Ice-Crusher loft Bar.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0613556030,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,,,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Boston-Shaker-2tlg-Loft,,,Product Info Column,,39.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,,,1,2,/wmf/bar-wein/boston-shaker-2tlg-loft-wmf_0613556030--1.jpg,,,Boston Shaker 2tlg. Loft,Boston Shaker 2tlg. Loft.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0603519990,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,,,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Flachmann-Manhatten-20cl,,,Product Info Column,,27.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,,,1,2,/wmf/bar-wein/flachmann-manhatten-20cl-wmf_0603519990--2.jpg,,,Flachmann Manhatten 20cl,Flachmann Manhatten 20cl.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
WMF_0603489990,base,Kitchen,simple,[Chinese Category]/厨房用具/红酒器皿,base,,,,WMF,,,,,Germany,,,,,,"
        Bar & Wein    <img width='100%' src='/media/wysiwyg/wmf/wmf-weinlove.jpg'>",No,,,0,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,,,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Flachmann-Manhatten-12cl,,,Product Info Column,,22.95,0,WMF，德国百年高端餐具、厨具品牌，自1853年以来，WMF就一直致力于将烹饪，用餐及品饮变成一种快乐的生活体验。WMF的产品涵盖家庭及社会餐饮领域，产品线包括西餐具，厨具，餐具，玻璃器皿及刀具。持续的创新及时尚的设计与优异的品质相得益彰，是WMF产品的独特之处。这些优势帮助WMF确立了德国餐具及厨具的市场领袖地位，并成为著名德国品牌。,,,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,,,1,2,/wmf/bar-wein/flachmann-manhatten-12cl-wmf_0603489990--1.jpg,,,Flachmann Manhatten 12cl,Flachmann Manhatten 12cl.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
