sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zielonka_15031,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,,,"Kühlschrank-Becher, Acryl Lila","Kühlschrank-Becher, Acryl Lila","Kühlschrank-Becher, Acryl Lila - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-Acryl-Lila,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-acryl-lila-zielonka_15031.jpg,,,"Khlschrank-Becher, Acryl Lila","Khlschrank-Becher, Acryl Lila.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50150,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Kühlschrank-Becher    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,,,Zilogusto,Zilogusto,Zilogusto - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zilogusto,,,Product Info Column,,12.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilogusto-01_1670.jpg,,,Zilogusto,Zilogusto.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15050,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,,,"Zilofresh egg, Acryl Weiß","Zilofresh egg, Acryl Weiß","Zilofresh egg, Acryl Weiß - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Weiss,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-weiss-zielonka_15050.jpg,,,"Zilofresh egg, Acryl Wei","Zilofresh egg, Acryl Wei.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15054,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,,,"Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Rot,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-rot-zielonka_15054.jpg,,,"Zilofresh egg, Acryl Rot","Zilofresh egg, Acryl Rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15053,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,,,"Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Lila,,,Product Info Column,,19.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-lila-zielonka_15053.jpg,,,"Zilofresh egg, Acryl Lila","Zilofresh egg, Acryl Lila.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15051,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        description    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,,,"Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilofresh-egg-Acryl-Blau,,,Product Info Column,,17.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/zilofresh-egg-acryl-blau-zielonka_15051.jpg,,,"Zilofresh egg, Acryl Blau","Zilofresh egg, Acryl Blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_70006,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Verdunster, blau    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,,,"Verdunster, blau","Verdunster, blau","Verdunster, blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Verdunster-blau,,,Product Info Column,,49.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/verdunster-blau-01_1613.jpg,,,"Verdunster, blau","Verdunster, blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15017,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Kühlschrank-Becher    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,,,Kühlschrank-Comfort Geruchskiller,Kühlschrank-Comfort Geruchskiller,Kühlschrank-Comfort Geruchskiller - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Kuhlschrank-Comfort-Geruchskiller,,,Product Info Column,,21.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-comfort-geruchskiller-02_239.jpg,,,Khlschrank-Comfort Geruchskiller,Khlschrank-Comfort Geruchskiller.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15030,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Kühlschrank-Becher    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,,,"Kühlschrank-Becher, weiss","Kühlschrank-Becher, weiss","Kühlschrank-Becher, weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-weiss,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-weiss-01_1632.jpg,,,"Khlschrank-Becher, weiss","Khlschrank-Becher, weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_15029,base,Kitchen,simple,[Chinese Category]/厨房用具/杀菌除味,base,,,,Zielonka,,,,,Germany,,,,,,"
        Kühlschrank-Becher    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,,,"Kühlschrank-Becher, mint","Kühlschrank-Becher, mint","Kühlschrank-Becher, mint - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Kuhlschrank-Becher-mint,,,Product Info Column,,14.95,0,"冰箱除味器金属盘上有由上百个细微的凹槽，从面使它实际表面的区域增长了540%，部分浸泡在水中的时候就可以消除所有异味中的分子颗粒，我们就叫它水触媒。当这些分子颗粒与异味杀手,水和氧气发生反应的时候，就可以产生分解，从而使人们的嗅觉再也闻不到异味。",,,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,,,1,2,/zielonka/kuhlschrank-geruschskiller/kuhlschrank-becher-mint-01_1641.jpg,,,"Khlschrank-Becher, mint","Khlschrank-Becher, mint.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
