sku,_store,_attribute_set,_type,categories,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Zielonka_50403,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopet-schwarz-schwarz-01_1646.jpg,,,,,Zilopet Schwarz/Schwarz,Zilopet Schwarz/Schwarz,Zilopet Schwarz/Schwarz - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,Zilopet-Schwarz-Schwarz,,,Product Info Column,,17.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopet-schwarz-schwarz-01_1646.jpg,,,,,1,2,/zielonka/zilopp/zilopet-schwarz-schwarz-01_1646.jpg,,,Zilopet Schwarz/Schwarz,Zilopet Schwarz/Schwarz.html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50321,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,,,"Zilosoap active, schwarz","Zilosoap active, schwarz","Zilosoap active, schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-schwarz,,,Product Info Column,,9.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-schwarz-01_1610.jpg,,,"Zilosoap active, schwarz","Zilosoap active, schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50325,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,,,"Zilosoap active, rosa","Zilosoap active, rosa","Zilosoap active, rosa - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-rosa,,,Product Info Column,,9.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-rosa-01_1620.jpg,,,"Zilosoap active, rosa","Zilosoap active, rosa.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50320,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,,,"Zilosoap active, blau","Zilosoap active, blau","Zilosoap active, blau - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilosoap-active-blau,,,Product Info Column,,9.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,,,1,2,/zielonka/zilopp/zilosoap-active-blau-01_1642.jpg,,,"Zilosoap active, blau","Zilosoap active, blau.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50106,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,,,"Zilopop,Acryl weiss","Zilopop,Acryl weiss","Zilopop,Acryl weiss - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Acryl-weiss,,,Product Info Column,,9.99,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,,,1,2,/zielonka/zilopp/zilopop-acryl-weiss-01_1600.jpg,,,"Zilopop,Acryl weiss","Zilopop,Acryl weiss.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50109,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,,,"Zilopop, schwarz/gold","Zilopop, schwarz/gold","Zilopop, schwarz/gold - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-schwarz-gold,,,Product Info Column,,15.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-gold-01_1663.jpg,,,"Zilopop, schwarz/gold","Zilopop, schwarz/gold.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50108,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,,,"Zilopop, schwarz/chrom","Zilopop, schwarz/chrom","Zilopop, schwarz/chrom - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-schwarz-chrom,,,Product Info Column,,13.95,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-chrom-01_1654.jpg,,,"Zilopop, schwarz/chrom","Zilopop, schwarz/chrom.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50110,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,,,"Zilopop, Schwarz","Zilopop, Schwarz","Zilopop, Schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Schwarz,,,Product Info Column,,9.99,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-01_1603.jpg,,,"Zilopop, Schwarz","Zilopop, Schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50151,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,,,"Zilopop, Schwarz","Zilopop, Schwarz","Zilopop, Schwarz - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-Schwarz,,,Product Info Column,,5.83,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,,,1,2,/zielonka/zilopp/zilopop-schwarz-01_1647.jpg,,,"Zilopop, Schwarz","Zilopop, Schwarz.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Zielonka_50100,base,Default,simple,[Chinese Category]/休闲旅游/消除体臭,base,,,,Zielonka,,,,,Germany,,,,,,"
        Zilopp    <img width='100%' src='/media/wysiwyg/zielonka/smell-killer-1.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-2.jpg'><img width='100%' src='/media/wysiwyg/zielonka/smell-killer-3.jpg'>",No,,,0,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,,,"Zilopop, rot","Zilopop, rot","Zilopop, rot - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,Zilopop-rot,,,Product Info Column,,9.99,0,德国zielonka不鏽鋼除臭器，異味殺手。只需一分钟即可彻底清除掉口腔内洋葱，啤酒，烟臭，大蒜臭味；对清洁剂皮肤过敏的人除去身体上的异味；更可以随时帮你免除脚，腋下和口腔异味的烦恼。Zielonka专利产品特点是分解异味源的分子，而不是传统式的暂时遮盖异味。自2000年被发明以来已经走进了美国、德国、日本等发达国家的千家万户。,,,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,,,1,2,/zielonka/zilopp/zilopop-rot-01_1658.jpg,,,"Zilopop, rot","Zilopop, rot.html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
