sku,_store,_attribute_set,_type,categories,name,_product_websites,age_range,aptamil_code,bottle_volume,brand,carseat_color,cartoon_figures,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,featured,gallery,gift_message_available,has_options,image_label,manufacturer,material,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,news_from_date,news_to_date,options_container,page_layout,price,required_options,short_description,sigg_figure,size,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail_label,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled
Victorinox_5.0101,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,"維氏 Victorinox 削皮器, Nylon 红色",base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 果蔬削皮器削皮刀, Nylon 红色</h1><br>规格: 158*20*12 mm<br>质地:主刀:顶级不锈钢;手柄:塑料    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,"削皮器, Nylon 红色","削皮器, Nylon 红色","削皮器, Nylon 红色 - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,5.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,", Nylon ",", Nylon .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_4.0520.31,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 皮套 黑色,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 皮套 黑色</h1><br>此皮套为长91mm的标准系列瑞士军刀的专用皮套，它可以容纳91mm标准系列下列军刀：标准、修补匠、露营者、健行者、攀登者、简洁、猎人、农场主、渔夫、捕鱼人、登山家、豪华修补匠、探险家、计时员、高度计、游击兵等款式<br>大小：长100mm，宽37mm，厚（内径）24mm、（外径）38mm    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 皮套 黑色                          ,瑞士军刀 皮套 黑色                          ,瑞士军刀 皮套 黑色                           - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,21.00,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,                            ,                            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_4.0520.1,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 皮套 皮革 红色,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 皮套 皮革 红色</h1><br>大小：长100mm，宽37mm，厚（内径）24mm、（外径）38mm。适合宽在65mm以下（包括65mm）宽的腰带（实测大小）。<br><h3>功能:</h3>可以有效减少军刀表面磨损,刀套上镶有维氏军刀的金属标志牌，夏天别在腰上又是一件不错的装饰品。<br>此皮套为长91mm的标准系列瑞士军刀的专用皮套，它可以装得下长91mm标准系列下列军刀，如：标准、修补匠、露营者、健行者、攀登者、简洁、猎人、农场主、渔夫、捕鱼人、登山家、豪华修补匠、探险家、计时员、高度计、游击兵等款式。<br>    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 皮套 皮革 红色                       ,瑞士军刀 皮套 皮革 红色                       ,瑞士军刀 皮套 皮革 红色                        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,15.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,                          ,                          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_4.0521.3H,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 皮套 皮革 横款,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 皮套 皮革 横款</h1><br>适用军刀：91毫米系列5至8层军刀<br>有皮带孔<br>黑色    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 皮套 皮革 横款                       ,瑞士军刀 皮套 皮革 横款                       ,瑞士军刀 皮套 皮革 横款                        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,4.65,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,                          ,                          .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_4.0535,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 皮套 SwissChamp,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 皮套 SwissChamp </h1><br>适用军刀：91毫米系列4至5层军刀<br>有皮带孔<br>棕色<br>    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 皮套 SwissChamp                  ,瑞士军刀 皮套 SwissChamp                  ,瑞士军刀 皮套 SwissChamp                   - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,17.40,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,  SwissChamp                  ,  SwissChamp                  .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_5.0703,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,"維氏 Victorinox 瑞士军刀 水果刀, Nylon 黑色",base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 水果刀, Nylon 黑色</h1><br>VICTORINOX军刀制造厂于一八八四年建于风景壮丽的瑞士阿尔卑斯上山麓。VICTORINOX保证所有军刀采用顶级不锈钢，质料及手工可永久保证。瑞士军刀在军队中主要用于野战宿营 及兵器的保养和维修。在日常生活中，这种多功能、方便及耐用的小刀有着更广泛的用途，旅行、登山、潜水及航模运动、修理自行车、汽车和其它业余爱好，瑞士军刀在紧急时刻， 危险关头也常是个好帮手。追求尽善尽美是瑞士军刀的一贯传统，多年的研制与创新使其的每个组成部分都达到了最佳造型，具有最完善的功能。    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,"瑞士军刀 水果刀, Nylon 黑色                  ","瑞士军刀 水果刀, Nylon 黑色                  ","瑞士军刀 水果刀, Nylon 黑色                   - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,4.60,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,," , Nylon                   "," , Nylon                   .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_5.0701,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,"維氏 Victorinox 瑞士军刀 水果刀, Nylon 红色",base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 水果刀, Nylon 红色</h1><br>VICTORINOX军刀制造厂于一八八四年建于风景壮丽的瑞士阿尔卑斯上山麓。VICTORINOX保证所有军刀采用顶级不锈钢，质料及手工可永久保证。瑞士军刀在军队中主要用于野战宿营 及兵器的保养和维修。在日常生活中，这种多功能、方便及耐用的小刀有着更广泛的用途，旅行、登山、潜水及航模运动、修理自行车、汽车和其它业余爱好，瑞士军刀在紧急时刻， 危险关头也常是个好帮手。追求尽善尽美是瑞士军刀的一贯传统，多年的研制与创新使其的每个组成部分都达到了最佳造型，具有最完善的功能。    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,"瑞士军刀 水果刀, Nylon 红色                  ","瑞士军刀 水果刀, Nylon 红色                  ","瑞士军刀 水果刀, Nylon 红色                   - AUSGER「德藝緻」德國精品百貨",,,Use config,Use config,,,Product Info Column,,4.60,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,," , Nylon                   "," , Nylon                   .html",4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_6.7401,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 水果刀 蔬菜刀 Swiss经典款 8 cm 红色,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 水果刀 蔬菜刀 Swiss经典款 8 cm 红色</h1><br>规格: 长188毫米，刃长83毫米，宽14毫米，厚0.8毫米。（不能折叠）<br>质地: 刀刃为顶级铬钼钒钢制造，手柄磨砂塑料    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 水果刀 蔬菜刀 Swiss经典款 8 cm 红色       ,瑞士军刀 水果刀 蔬菜刀 Swiss经典款 8 cm 红色       ,瑞士军刀 水果刀 蔬菜刀 Swiss经典款 8 cm 红色        - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,3.20,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,   Swiss 8 cm        ,   Swiss 8 cm        .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_4.0548.3,base,Kitchen,simple,[Chinese Category]/休闲旅游/瑞士军刀,維氏 Victorinox 瑞士军刀 尼龙刀套,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 尼龙刀套 皮革 适合5-6层 </h1><br>此皮套为长111mm的标准系列瑞士军刀的专用皮套，它适合装得下长111mm标准系列下列军刀，如：前驱、消防员、商人、大力士、船长、工作冠军等款式。<br>大小：长122mm，外面最宽处41mm，装上军刀后最厚处41mm。适合宽在65mm以下（包括65mm）宽的腰带（实测大小）。<br>材质：尼龙<br>开关：粘扣<br>颜色：黑色<br>    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 尼龙刀套                           ,瑞士军刀 尼龙刀套                           ,瑞士军刀 尼龙刀套                            - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,13.10,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,                            ,                            .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
Victorinox_7.6073.3,base,Kitchen,simple,[Chinese Category]/厨房用具/厨房小工具,維氏 Victorinox 瑞士军刀 削皮器 黑色,base,,,,Victorinox,,,,,Germany,,,,,,"<div class=""std"">
        <h1>瑞士军刀 削皮器 黑色 </h1><br>长133mm、宽53mm、厚12mm<br>刀刃：不锈钢<br>手柄：磨砂塑料    </div><img width='100%' src='/media/wysiwyg/victorinox/victorinox.jpg'>",No,,,0,,,,,瑞士军刀 削皮器 黑色                         ,瑞士军刀 削皮器 黑色                         ,瑞士军刀 削皮器 黑色                          - AUSGER「德藝緻」德國精品百貨,,,Use config,Use config,,,Product Info Column,,2.50,0,Victorinox公司是目前欧洲最大的刀具制造商，位于瑞士中部群山环绕的施维茨州伊巴科小镇上。维氏所制造的不单只是世界驰名的‘军刀’，更是一种被人们广泛应用于旅游、登山、潜水、航模运动、修理自行车，汽车及日常生活中的‘多功能工具’。VICTORINOX拥有950多名员工，它是SCHWYZ（地名）地区最大的工业企业，也是欧洲最大的刀具制造商。,,,,,,,1,2,,,                           ,                           .html,4,1,10,0,1,0,0,1,1,1,0,1,1,,1,0,1,0,1,0,1,0,0,,,,,,,,,,,,,,,,,,,,1,0
